cluster_number	contributing_patients	num_tcrs_in_clust	total_reads	is_cancer_assoc
47416	26	77	244	False
3904	14	19	32	False
17030	24	72	158	False
32105	31	58	147	False
26599	39	325	1483	True
20367	36	311	1126	True
41572	5	5	15	False
52214	29	80	428	False
18978	5	5	9	False
43545	29	55	175	False
42558	10	11	63	False
33845	39	336	1168	False
50873	25	46	728	False
22329	29	48	211	False
39663	22	35	122	False
49827	17	24	211	False
31454	18	33	59	True
22760	34	160	1347	True
743	38	287	1004	False
770	15	24	48	False
34804	2	3	11	False
20882	36	110	405	True
25247	25	41	99	False
1809	30	55	193	True
24237	22	35	153	False
33849	35	232	966	True
370	29	72	178	False
2904	19	35	103	False
46758	25	60	322	False
43243	1	1	2	False
51220	20	33	68	True
9217	20	31	82	False
1306	8	9	13	False
27672	22	46	120	False
22514	36	120	489	True
2226	5	7	12	False
25200	38	286	1000	True
33330	39	257	859	False
14010	8	16	28	False
24457	36	182	556	False
2910	17	30	151	False
8712	26	34	54	False
29098	8	11	301	False
1581	35	148	1044	True
22315	20	33	61	False
9239	7	7	11	False
20937	4	6	12	False
31727	8	8	15	False
30533	11	14	38	False
23592	38	553	4168	False
38689	28	58	166	False
43619	20	28	53	True
43584	17	19	94	False
31192	6	7	18	False
11015	11	12	48	False
24559	38	343	1207	True
25206	37	155	3395	False
1808	33	138	699	False
49027	35	209	608	True
34263	20	28	200	False
33851	38	262	1103	True
49831	15	23	75	False
6624	9	9	21	False
50438	17	20	61	False
28342	23	52	114	False
16961	3	3	105	False
31281	30	57	136	False
29458	23	38	93	False
33334	24	77	234	False
46727	2	2	4	False
22148	9	11	32	False
3241	5	5	12	False
1576	34	128	331	True
50025	38	492	2061	True
1547	37	164	624	False
23941	1	1	1	False
17687	3	3	5	False
13032	1	1	2	False
3071	3	3	7	False
783	30	89	592	True
10432	24	29	269	True
15368	19	28	58	False
32615	31	71	202	True
49456	10	10	15	False
2952	6	6	11	False
13992	29	68	345	False
43559	13	20	48	False
8055	1	1	5	False
18765	37	319	1779	True
49849	12	13	24	False
25968	39	418	2299	False
1998	5	8	52	False
750	10	14	30	False
15291	30	85	315	True
29247	39	249	952	True
13573	20	33	64	False
33763	29	68	160	True
17051	26	48	83	False
25194	39	450	2572	True
8209	39	393	1573	False
27163	16	23	79	True
44695	2	2	32	False
14015	5	5	7	False
34647	6	10	42	False
17834	17	32	113	False
8817	3	3	5	False
40228	11	11	31	False
12122	27	54	207	False
50713	3	3	4	False
1972	14	28	71	False
34460	19	33	71	False
31768	7	8	24	False
44070	26	55	382	False
20896	32	122	1364	True
25202	29	78	456	True
44524	1	1	2	False
47936	5	5	37	False
5029	28	52	136	False
25683	1	1	2	False
22647	21	41	181	False
40210	16	17	55	False
1613	26	43	170	False
4798	2	2	5	False
40189	25	43	110	False
1558	8	10	34	False
18252	26	43	104	False
31140	30	91	287	True
8249	2	2	5	False
31770	9	9	13	False
36201	23	50	1025	True
36114	5	5	23	False
6699	6	6	21	False
36696	19	33	86	False
7088	29	130	396	False
51233	25	50	155	True
28107	21	39	173	True
7108	28	81	263	False
10639	2	2	13	False
29624	2	2	4	False
31449	22	29	72	False
38549	9	9	13	False
49426	3	3	7	False
34598	38	291	2086	False
25649	37	144	568	True
4447	23	34	141	False
27457	34	102	636	False
33852	27	72	427	True
51733	25	59	197	True
7974	2	2	6	False
50869	35	103	340	True
33417	13	21	50	False
39683	26	57	404	True
50914	13	19	75	False
50900	20	31	117	False
23503	34	195	694	True
43101	1	1	1	False
42166	17	24	49	False
51239	32	139	493	True
1300	28	123	405	False
9221	18	26	106	False
24213	14	19	108	False
52232	31	82	241	False
14916	6	8	12	False
30061	17	25	313	False
33854	35	212	994	True
27463	29	65	698	False
43561	32	65	170	False
8699	14	24	193	False
8709	29	75	372	False
50059	25	45	204	True
3342	20	36	130	False
8010	8	9	19	False
23799	10	12	26	False
23787	27	80	645	False
7990	7	7	14	False
39686	17	26	61	False
35656	21	37	282	True
50883	31	103	340	False
51743	28	60	123	False
1957	31	77	215	False
13692	1	1	1	False
4454	23	42	121	False
22287	2	2	4	False
51213	30	66	416	True
31429	38	159	804	True
31730	37	291	1762	False
27051	7	8	29	False
42972	23	30	103	True
32121	14	19	37	False
8692	12	15	29	False
27484	26	58	226	False
26906	29	98	419	True
37812	29	67	332	True
31147	32	105	881	False
50672	26	55	110	False
46517	2	2	3	False
25645	36	229	863	True
41365	7	8	11	False
46056	24	41	111	False
33797	1	1	1	False
22506	35	238	625	True
36195	22	43	146	False
3911	12	13	46	False
39133	8	11	21	False
33374	23	41	108	False
5048	11	15	28	False
23603	23	27	106	False
42017	12	12	21	False
43682	1	1	1	False
24858	1	1	1	False
42508	35	111	237	True
32450	21	30	714	False
25971	35	113	395	False
17608	13	16	30	False
20846	1	1	2	False
30518	24	82	161	True
15421	2	2	4	False
42965	21	37	163	False
43856	16	26	40	False
7121	10	14	89	False
1318	33	93	181	True
13292	15	22	37	False
36688	28	52	284	False
28109	30	64	189	True
41553	38	208	943	True
25403	2	2	3	False
16255	10	12	45	False
52216	38	151	805	False
42030	21	51	91	True
49411	17	23	109	False
22144	17	32	56	False
18939	22	42	114	False
27376	1	1	1	False
8734	11	11	19	False
18772	4	4	15	False
20726	30	80	255	False
28504	2	2	5	False
20923	20	32	267	False
36231	1	1	1	False
12620	1	1	1	False
44068	8	10	21	False
31791	9	12	55	False
24230	16	26	272	False
8219	14	15	59	False
23983	13	18	28	False
39964	34	234	2032	True
40974	36	193	477	True
40012	12	19	43	True
28569	33	86	316	False
28613	14	17	33	False
40415	28	55	182	False
18938	31	96	226	False
40469	4	4	17	False
15026	2	2	2	False
27490	27	51	107	False
40303	2	2	2	False
42499	24	51	254	False
23500	30	96	305	True
7944	27	54	220	False
50917	18	33	168	False
22317	26	64	321	False
49038	34	109	430	False
47451	9	10	32	False
10335	1	1	1	False
22769	30	71	133	True
29263	18	25	48	False
36783	2	2	2	False
31019	11	14	39	False
27673	9	11	18	False
36384	27	48	156	False
49154	26	68	236	False
15292	34	193	434	False
44625	37	266	1573	False
46601	2	2	3	False
38529	2	3	4	False
27465	16	28	58	False
1532	39	295	1447	True
24897	2	2	2	False
7835	8	10	28	False
37806	9	12	805	False
39985	15	24	73	False
13613	11	12	24	False
12938	36	142	416	False
17830	32	82	491	True
10976	26	59	461	True
15586	37	285	3101	True
44063	13	18	24	False
17031	29	79	301	True
27667	20	30	82	False
46036	13	16	30	False
42931	27	57	138	True
31720	35	244	933	False
1828	33	73	217	False
25213	24	58	191	False
24225	31	77	236	False
1795	36	166	717	False
31298	38	164	696	False
39131	13	17	27	False
8414	2	2	9	False
4431	26	103	323	True
2327	34	211	1037	False
25646	34	102	997	True
37224	5	5	17	False
30086	16	22	64	False
43536	20	30	841	False
8773	12	17	33	False
32448	32	83	236	False
31161	25	49	110	False
18770	10	15	56	False
18808	18	23	83	False
18813	6	7	13	False
18766	29	79	330	False
26930	21	28	71	False
42032	3	4	6	False
47660	21	39	87	False
34268	25	57	117	True
17058	24	30	74	False
51261	16	25	61	False
28349	13	17	64	False
22070	2	2	3	False
9243	18	31	62	False
4603	25	68	169	False
38324	34	118	355	True
24251	3	3	5	False
44435	1	1	2	False
31718	39	396	1699	False
50333	1	1	2	False
9950	4	4	6	False
14919	18	29	76	False
14016	7	7	9	False
7799	38	309	1172	True
1582	13	17	59	True
1524	11	14	30	False
27526	4	4	11	False
29078	29	82	242	False
1584	18	26	247	False
23573	2	2	3	False
37810	23	37	285	False
24572	28	34	94	False
1956	16	25	56	True
44037	2	2	7	False
28493	1	1	2	False
20884	34	125	466	True
3868	30	90	777	False
36718	18	28	60	False
36386	20	33	63	True
22776	25	51	98	False
30768	25	56	89	False
51245	30	65	350	False
30760	23	54	161	False
747	28	48	138	True
29452	8	12	116	True
48592	9	12	16	False
32629	11	13	25	False
24236	20	44	95	False
39097	25	63	216	False
39162	4	4	6	False
45820	25	48	305	True
26577	3	3	10	False
34623	25	60	206	True
42123	3	3	4	False
42517	12	16	112	False
8694	26	46	150	False
7827	20	43	95	False
27299	5	5	17	False
32290	28	70	394	False
18764	37	321	1187	True
49850	5	5	22	False
3656	18	31	176	False
37902	33	87	310	False
35706	9	12	19	True
25970	38	488	1779	False
50863	20	31	97	False
8218	8	9	13	False
3880	18	25	59	False
17877	5	6	8	False
8345	2	2	3	False
22908	31	91	1066	True
44962	31	95	289	True
10081	1	1	1	False
44206	4	4	7	False
31717	36	172	666	False
27926	19	28	37	True
5813	34	160	456	True
10218	1	1	2	False
46598	20	30	181	False
6766	17	24	76	False
4852	22	41	106	False
23620	27	73	524	False
14907	32	86	309	False
31736	34	151	844	False
40983	13	19	34	False
50028	39	396	1677	False
27460	38	142	440	True
11000	14	22	92	False
18787	22	65	218	True
38098	5	5	7	False
3748	1	1	2	False
50655	25	47	267	False
43145	37	194	644	False
42993	9	10	25	True
51229	28	87	350	True
34433	21	43	126	False
22641	32	104	416	False
20906	27	69	338	False
28334	29	51	128	False
40987	37	172	458	True
46082	7	10	21	False
1304	22	43	144	True
1378	7	10	142	False
7428	1	1	4	False
44060	23	47	122	False
808	17	24	94	True
20921	8	9	20	True
30981	27	66	152	False
46027	26	56	93	False
29454	12	16	28	False
44186	12	15	337	False
5452	26	63	153	True
33632	4	4	18	False
19975	1	1	1	False
28615	29	82	850	False
29439	36	264	1384	True
9893	23	35	95	False
16439	29	77	278	False
52237	23	40	77	False
42019	38	148	314	False
14917	22	36	322	True
7914	2	3	6	False
46950	2	2	3	False
42488	35	137	668	False
42486	36	114	290	True
18258	11	17	52	True
43156	7	7	9	False
37927	21	42	90	False
50880	32	114	258	False
20749	7	7	11	False
50868	25	56	182	False
19344	23	35	163	False
43148	34	123	555	True
15425	2	2	3	False
39981	32	82	405	False
1322	26	60	178	False
1341	16	24	32	False
22850	2	2	3	False
22778	14	16	35	False
20933	12	13	33	False
33767	21	31	73	True
793	21	36	82	True
3960	3	3	3	False
28150	3	3	14	False
25221	29	62	134	False
41555	36	227	739	True
20141	13	16	275	False
5026	38	372	1047	True
28621	5	5	29	False
19629	29	89	245	True
32109	31	89	391	False
4757	2	2	2	False
15121	31	76	156	True
49779	1	1	1	False
6762	37	169	533	False
35283	1	1	2	False
14002	28	69	108	False
18952	27	53	146	False
47104	21	26	137	False
21557	34	113	254	False
1580	21	32	72	False
1521	35	188	2270	False
27337	3	4	7	True
1631	13	14	25	False
33610	34	131	464	False
44988	20	38	110	False
18255	17	39	112	True
49946	1	1	7	False
35671	27	54	280	True
22312	25	53	279	False
22313	38	173	1566	True
25997	21	28	138	False
23798	19	25	57	False
23614	10	10	53	False
24000	10	12	19	False
2749	22	48	175	False
15796	7	9	11	False
30782	18	21	26	False
20549	13	21	84	False
22540	4	4	5	False
34468	22	40	106	True
3885	24	48	303	True
51249	13	14	41	False
27675	22	37	71	False
30811	14	24	33	False
1325	5	5	8	False
7094	26	51	215	True
25812	6	6	11	False
44220	9	11	17	False
39070	4	4	11	False
39088	28	51	81	False
32113	22	39	137	False
32102	39	421	2574	False
13814	24	52	279	True
4609	24	31	84	False
28578	25	70	273	False
12986	5	5	6	False
11478	4	4	6	False
11958	22	38	115	False
10972	25	36	141	False
38685	28	51	102	False
16422	36	255	783	False
9866	15	20	31	False
9404	21	41	59	False
7823	5	5	7	False
23809	13	22	52	False
23779	26	54	161	False
23774	35	204	776	True
34090	2	2	3	False
3679	17	20	31	False
26727	27	62	142	True
17644	4	5	30	False
26731	23	32	567	False
5225	7	8	15	False
41601	4	5	5	False
48851	2	2	4	False
15299	33	125	683	True
36707	4	4	4	False
36192	23	39	140	True
44048	29	71	259	True
3919	17	27	66	False
47417	31	84	159	True
6621	26	44	209	False
28492	2	2	3	False
45195	8	9	14	False
36824	1	1	1	False
22907	28	54	100	True
31742	28	60	176	False
7139	14	16	54	False
31844	2	2	2	False
5521	1	1	1	False
1806	14	16	75	False
44279	5	6	11	False
1800	33	114	291	True
25374	4	5	7	False
26587	35	122	561	False
26590	23	43	70	False
39142	22	33	213	False
40831	31	103	392	False
22644	32	160	592	True
17236	13	15	23	False
39965	34	361	3616	True
10066	35	139	562	True
37426	3	3	5	False
15310	20	35	130	False
49443	4	4	36	False
6781	24	49	83	True
14905	33	88	931	False
24476	19	26	51	False
1643	5	5	122	False
42515	17	20	56	False
42530	10	11	24	False
10476	3	4	9	False
50030	33	128	1094	True
1568	35	157	878	True
22316	2	2	3	False
35667	36	137	497	False
23785	24	44	84	True
35675	19	34	94	False
39652	19	35	112	True
14726	8	12	23	False
39662	22	44	86	False
35651	37	217	959	False
17701	2	2	4	False
7961	16	20	30	False
20722	28	61	363	True
37809	30	72	194	True
2165	1	1	1	False
49064	4	5	11	False
33346	22	35	75	False
44065	37	158	611	True
8207	8	9	24	False
48617	11	14	20	False
44052	28	60	291	True
8216	15	28	71	False
6681	7	7	16	False
2878	3	3	6	False
20551	21	55	154	False
3869	34	151	394	True
748	35	134	521	True
31799	16	26	66	False
20914	28	51	108	False
30752	12	15	60	False
7085	17	25	35	False
28326	18	35	112	False
51214	30	108	221	True
38338	23	69	158	True
25199	35	119	705	False
32833	12	13	57	False
41058	1	1	1	False
45122	30	136	358	False
4598	28	47	174	False
7587	15	30	105	False
15131	24	52	360	False
15118	38	136	821	False
361	38	313	2185	True
49413	2	2	2	False
6804	22	32	138	False
375	29	45	256	False
9378	40	307	1268	True
9413	15	19	42	False
32291	28	51	263	False
25109	1	1	1	False
32460	19	30	86	False
1554	30	80	404	False
42523	25	55	204	True
29108	3	3	5	False
51032	16	20	77	False
7940	26	43	143	False
17762	1	2	2	False
49976	2	2	2	False
50909	13	15	74	False
3690	4	4	6	False
50683	15	21	113	False
50874	35	141	486	True
37811	30	96	479	True
2011	5	6	9	False
31722	17	26	66	False
30745	36	123	347	True
50451	10	13	25	False
17062	22	36	98	False
17032	22	44	86	False
44072	25	41	131	False
30758	26	49	200	False
30969	13	20	33	False
1820	29	80	203	False
31502	7	7	9	False
44204	4	4	9	False
1840	19	36	76	False
45397	31	87	282	False
9528	18	35	85	False
11231	26	69	155	False
32792	32	97	556	False
12937	37	289	1451	True
5815	6	7	49	False
34107	17	23	35	True
23599	28	52	152	False
13569	31	99	271	True
4866	25	46	154	True
31284	39	326	1109	True
52217	37	178	518	False
4847	32	96	511	False
38686	26	55	330	False
16558	3	3	4	False
41686	2	2	2	False
50037	34	149	602	True
32467	23	43	105	False
8700	19	37	387	False
43535	28	73	543	False
43616	5	6	38	False
1758	2	2	50	False
50026	28	88	339	True
19201	21	40	211	False
35665	27	68	413	False
18780	5	5	6	False
14319	1	1	1	False
34456	15	25	106	False
30989	29	79	249	True
5039	30	59	719	True
13934	2	2	3	False
738	33	117	260	True
47432	11	14	87	False
20918	14	21	101	False
22765	14	19	88	False
22922	14	22	79	False
33629	14	23	34	False
44946	39	378	1544	True
34481	6	7	43	False
25214	32	78	257	False
24232	27	47	151	False
32106	25	50	147	False
39084	27	72	167	False
21035	17	35	78	True
47651	17	31	79	False
25644	34	188	3512	True
47965	9	9	11	False
32115	33	122	315	False
42028	21	31	60	False
9400	4	4	12	False
52258	9	10	21	False
40978	39	559	5113	False
30096	2	2	2	False
42496	26	53	298	False
42509	8	10	17	False
8678	22	36	75	False
50035	18	33	82	False
50032	31	78	390	False
27488	28	69	151	False
32453	17	20	58	False
37813	26	52	210	True
23877	1	1	1	False
26749	11	17	34	False
3658	29	110	286	True
50649	11	14	27	False
49862	3	4	7	False
39650	37	160	469	False
43150	23	40	116	False
32715	2	2	12	False
40458	4	4	6	False
37595	28	69	337	False
22559	1	1	1	False
1309	37	224	604	True
7103	35	136	1826	True
17087	4	4	17	False
13288	15	27	49	False
41003	4	4	5	False
44799	3	3	7	False
27053	12	18	53	False
33855	32	72	240	False
10384	1	1	2	False
12461	32	136	361	True
8217	23	46	141	True
41567	16	23	32	True
33321	2	2	3	False
7538	29	71	198	True
23602	33	113	287	False
47650	12	14	30	False
47439	22	37	1375	False
6780	20	39	139	False
40422	25	47	184	False
14001	8	10	22	False
1530	34	147	632	True
1540	37	144	395	False
42534	6	6	9	False
1588	21	43	189	True
18776	31	105	333	False
35655	23	85	284	False
49835	8	12	20	False
22344	22	40	119	True
32142	13	17	26	False
8212	38	417	1762	True
29468	25	48	159	False
13568	36	172	1321	False
18150	2	2	10	False
36752	6	6	12	False
1295	31	69	117	True
51225	23	51	174	False
494	26	58	112	False
28541	2	2	7	False
36743	1	1	1	False
7084	37	265	715	False
41004	2	3	12	False
2763	2	2	3	False
51219	5	5	9	False
44183	9	10	13	False
25196	33	144	662	False
29253	15	25	77	False
26625	6	7	18	False
27050	38	318	1106	False
26608	13	21	40	False
24848	15	18	37	False
43854	16	20	39	False
16120	5	5	25	False
32104	35	242	1738	False
8273	2	3	7	False
5827	26	59	117	False
28795	31	129	356	False
961	2	2	2	False
34604	28	52	142	False
29249	31	78	254	False
15230	1	1	1	False
46720	1	1	2	False
16420	39	203	686	False
52246	12	12	76	False
47158	4	8	19	False
17551	1	1	1	False
24472	8	11	16	False
46755	27	51	155	True
7821	26	54	186	False
34446	27	86	348	True
27486	30	71	233	False
40173	35	192	772	True
8714	13	13	22	False
42563	5	10	22	False
43793	2	2	2	False
7953	27	94	291	False
22339	33	148	479	False
