cluster_number	contributing_patients	num_tcrs_in_clust	total_reads	is_cancer_assoc
48796	8	11	42	False
9381	13	103	424	False
15139	12	65	247	False
42492	13	78	334	True
18768	11	26	102	False
25997	10	20	61	False
24404	3	3	32	False
25643	13	165	445	False
52251	5	13	58	False
27125	10	25	125	False
17610	8	23	68	False
35703	7	16	100	False
31296	11	64	216	True
1295	6	11	41	True
29242	6	16	66	True
4429	13	79	157	True
2198	10	17	48	False
12957	4	5	17	False
49441	5	12	41	False
37225	11	41	165	True
8536	3	4	92	False
43012	4	5	27	True
46311	12	50	159	False
45603	1	1	10	False
13290	10	25	88	False
9874	7	10	66	False
30985	8	18	81	False
34598	13	99	753	False
42019	12	49	227	False
14925	10	22	70	False
1614	2	3	95	False
26747	6	12	102	False
42973	5	7	23	False
28538	2	2	53	False
46348	4	8	29	False
17238	10	22	70	False
17831	3	4	23	False
2518	11	28	103	False
41864	2	2	23	False
9378	13	99	371	True
8996	1	1	14	False
26908	9	21	329	False
48186	8	33	97	False
33853	11	32	328	False
9515	10	79	198	True
41549	10	24	113	True
11213	2	3	21	False
12345	2	2	18	False
29272	4	10	20	False
8212	13	145	351	True
25646	10	34	114	True
2960	1	3	6	False
36173	2	2	18	False
4428	12	70	145	True
13808	11	42	149	True
20891	13	92	492	True
10713	1	1	39	False
48618	11	26	196	False
20159	4	5	16	False
28588	10	20	72	False
48513	1	2	9	False
33852	9	26	69	True
31138	10	32	129	True
27752	2	2	14	False
6169	4	11	69	False
7559	10	21	54	False
6241	2	3	30	False
9867	12	54	150	False
27293	7	14	93	False
43557	11	20	143	False
18434	1	1	46	False
26909	12	49	366	True
17983	1	1	18	False
44239	6	7	60	True
9711	2	3	16	False
27048	12	52	113	True
33849	12	112	473	True
11029	2	5	23	False
37603	11	19	109	False
31459	3	4	65	False
40204	10	22	76	False
26599	13	75	199	True
40583	9	20	65	False
3007	1	1	9	False
28575	12	31	148	True
33193	1	1	58	False
375	7	14	36	False
27310	2	2	24	False
2912	9	18	52	True
50865	11	16	59	True
33372	11	25	99	False
50493	1	1	8	False
45387	6	10	89	False
22143	1	11	46	False
5621	11	28	85	False
48803	3	5	30	False
9887	8	18	45	False
17439	3	3	18	False
33878	7	9	79	False
33854	13	75	308	True
51725	7	31	119	True
22862	1	1	26	False
8204	13	81	200	True
26600	13	44	161	False
23311	1	1	31	False
18553	8	17	56	False
3707	4	5	54	False
50448	3	3	49	False
3326	1	3	8	False
2891	6	11	28	False
10972	5	6	21	False
18753	2	2	19	False
50028	13	104	388	False
22154	4	5	15	True
26594	13	51	147	False
51491	2	2	22	False
15887	1	1	72	False
3269	1	2	7	False
47674	7	10	37	False
31762	5	11	34	False
52233	12	54	234	False
42943	13	165	613	False
48428	3	4	26	False
39475	11	33	203	True
33378	8	13	78	False
44062	9	25	79	True
2921	5	11	26	True
23581	1	3	23	False
45203	4	5	24	False
496	7	15	63	False
52317	2	2	13	False
48414	5	14	67	False
17422	2	2	64	False
1592	11	21	102	False
20756	3	3	16	False
3648	1	1	29	False
24257	11	22	69	False
2209	7	20	115	False
29245	13	123	416	True
37602	5	6	23	False
30638	1	1	10	False
31741	13	206	514	False
28608	9	15	55	True
38690	6	12	66	False
11966	4	4	181	False
13991	13	69	345	True
32464	7	9	78	False
25971	12	37	135	False
26728	6	8	36	False
25976	11	42	108	False
51259	2	2	8	False
31739	8	20	83	False
25200	13	107	375	True
26606	12	28	778	False
45817	5	9	80	True
16838	10	29	84	False
11228	11	26	75	True
48221	4	4	10	False
40584	9	15	81	False
47925	12	24	94	False
49410	8	13	50	True
11465	3	5	58	False
27483	2	3	28	True
43556	11	57	197	False
1578	12	46	144	False
31758	7	32	196	False
3253	1	1	5	False
21928	2	2	24	False
2910	8	17	383	False
39533	1	1	13	False
3344	11	26	114	False
37595	10	20	46	False
740	12	59	154	True
1801	11	27	82	True
46339	8	23	117	True
20433	3	4	53	False
13284	6	11	35	False
44950	11	49	84	True
1596	12	27	229	False
38912	6	12	61	False
42389	1	1	15	False
25230	7	14	40	False
5168	6	10	26	False
49153	2	5	33	False
52229	7	13	49	False
46754	10	36	112	True
32148	1	2	14	False
29596	11	32	96	True
32009	1	4	33	False
16087	9	17	40	False
8228	1	1	12	False
18944	9	19	66	False
22376	1	1	23	False
37812	7	14	62	True
1978	5	7	244	False
4011	1	1	26	False
3909	4	5	40	False
10960	9	46	201	True
17037	8	14	36	False
45828	4	8	26	False
10431	7	12	23	False
21268	9	23	68	True
19628	11	55	170	True
4849	10	21	76	False
4847	10	29	87	False
27124	13	68	245	False
14910	6	12	36	False
739	12	37	178	False
39186	1	1	10	False
48954	1	1	31	False
3117	1	1	6	False
4602	10	37	110	False
10993	7	9	23	True
23964	8	13	27	False
12974	1	2	11	False
22140	4	8	17	False
52221	13	77	209	False
11962	11	38	103	False
15287	1	1	13	False
46749	5	10	25	False
27286	11	50	395	True
48172	9	44	103	True
1331	8	11	32	True
25197	12	40	152	True
27056	7	17	29	True
13119	8	19	63	False
16112	4	6	41	False
12713	1	1	13	False
16837	12	31	173	False
5827	11	26	69	False
15123	7	13	58	False
37233	5	11	54	False
6768	8	16	77	False
22555	1	1	13	False
51481	4	5	77	False
13599	8	18	41	True
13347	1	1	12	False
27914	9	24	80	False
32852	2	3	32	False
36383	11	54	167	False
21047	4	5	99	False
47892	2	2	25	False
28587	11	42	99	True
28584	9	25	403	False
15591	12	41	134	False
7953	12	34	96	False
3346	2	2	18	False
46451	2	7	23	False
50914	6	11	48	False
50432	3	5	38	False
42932	13	163	440	True
8585	1	1	24	False
4852	7	11	54	False
26392	9	11	38	False
30513	1	1	16	False
31736	11	53	178	False
32481	2	2	27	False
15586	13	83	357	True
10498	1	1	6	False
39145	1	1	13	False
33934	1	2	9	False
41806	6	16	32	True
39965	13	134	424	True
51847	13	50	103	False
6005	12	51	210	True
12955	4	9	43	False
29439	13	91	282	True
40454	4	5	18	False
24456	13	122	313	False
1570	11	42	177	True
50059	7	15	39	True
5064	4	5	19	False
26004	5	15	45	False
18281	1	1	8	False
47638	1	1	13	False
50439	9	27	77	False
15606	12	30	74	True
44161	8	16	59	False
20413	5	13	82	False
45434	3	5	27	False
49049	2	2	7	False
20567	1	2	18	False
27698	3	4	16	False
38357	2	2	8	False
27945	5	7	13	False
32806	5	12	41	False
49173	7	9	61	False
48096	1	1	12	False
28566	12	88	406	False
27459	12	29	78	True
42510	8	15	58	True
37901	8	22	102	True
26006	4	4	23	False
43286	1	1	12	False
40995	3	5	24	False
11348	1	1	23	False
20395	1	4	24	False
30991	13	50	78	True
21044	4	6	27	False
27922	12	46	111	True
34488	3	3	35	False
40433	6	11	50	False
2362	5	9	70	False
4876	5	13	32	False
6016	7	12	40	False
14024	3	3	19	False
1532	12	88	397	True
26934	1	2	12	False
17655	2	2	12	False
18240	8	17	60	False
41835	5	8	30	False
733	9	23	43	True
6639	5	6	10	True
20886	13	75	638	True
42250	1	1	22	False
34449	6	13	64	True
25264	2	2	47	False
27049	11	37	116	False
51445	10	31	2159	False
20370	12	23	104	True
20552	10	30	74	True
28664	2	2	17	False
22135	4	6	19	False
40418	7	9	37	False
7148	1	1	4	False
39470	13	61	306	True
7090	11	32	116	False
7179	1	1	3	False
31494	8	13	60	False
45422	2	2	18	False
51489	2	2	45	False
35090	10	15	43	False
7526	12	44	151	True
34677	1	1	5	False
52241	10	30	71	False
18566	10	28	93	False
42488	12	43	321	False
25968	13	148	551	False
49852	3	6	15	False
35671	9	18	63	True
4473	2	2	44	False
19875	6	10	54	True
38153	1	1	8	False
4593	13	71	274	False
42925	13	112	278	True
21272	5	8	28	False
37604	5	5	20	False
42027	2	2	19	False
47111	13	48	124	False
1549	11	20	84	False
35655	12	38	153	False
7952	4	4	52	False
25987	9	18	98	False
36731	1	1	8	False
1324	5	6	13	False
33589	12	52	94	True
44055	12	68	184	True
13866	1	1	21	False
24252	7	9	68	False
42835	1	1	32	False
13216	2	2	7	False
2898	3	4	13	False
48190	2	3	5	False
48798	4	5	21	False
6011	4	4	25	False
3189	1	2	4	False
25649	13	40	127	True
1576	9	30	78	True
39707	8	10	44	True
33381	2	3	7	False
20880	13	50	171	True
31730	13	70	351	False
24583	8	17	110	False
1800	12	50	262	True
44959	13	94	614	True
6794	5	7	32	False
31511	1	1	10	False
48271	2	2	5	False
19874	11	35	56	True
23623	6	13	35	True
10420	5	8	48	False
8945	1	1	6	False
12235	1	1	8	False
31153	9	21	51	False
7939	6	13	65	False
37830	2	3	11	False
35855	1	1	34	False
22512	9	17	44	False
25208	11	28	127	False
48191	4	8	26	False
40989	10	41	234	True
21053	4	5	30	False
45622	7	8	16	False
34592	13	68	129	True
34628	1	1	8	False
24463	12	40	81	False
27456	12	41	161	False
51751	6	9	21	False
17045	4	5	52	False
17966	1	1	3	False
26185	1	1	9	False
27940	4	6	14	False
2185	13	132	370	True
2182	12	107	233	True
23317	1	1	16	False
362	10	16	43	False
18953	7	13	64	False
29246	10	37	169	False
33851	13	83	425	True
50126	1	1	13	False
51757	2	4	32	True
50900	6	12	28	False
34076	1	1	5	False
2171	1	1	8	False
16433	6	14	26	False
31723	13	285	1340	False
743	12	79	368	False
44214	5	10	50	False
20373	9	36	789	True
4635	7	10	19	False
48647	2	2	21	False
16101	6	10	19	False
7595	5	8	23	True
773	8	13	40	False
23596	8	21	48	False
52242	9	20	41	True
15156	3	7	20	False
52255	5	6	16	False
24461	7	14	41	False
1547	13	52	149	False
50674	2	4	49	False
39466	6	6	14	False
18763	5	16	83	True
8057	1	1	2	False
46028	7	15	60	False
36691	2	2	8	False
3906	8	9	21	False
22780	9	22	38	True
37662	1	2	15	False
46908	7	26	62	False
31292	12	70	190	True
16643	12	72	166	True
46928	1	1	14	False
48356	2	2	5	False
2244	3	4	7	True
13709	2	2	10	False
34623	10	27	72	True
9863	10	40	156	False
8539	7	12	32	False
30051	8	12	33	True
1834	10	23	50	False
1543	7	12	31	False
32626	7	12	38	False
42485	13	52	209	True
20808	1	1	4	False
50880	10	46	262	False
27038	1	1	6	False
34529	1	1	21	False
31753	12	45	154	False
17056	5	5	16	False
22764	10	46	256	False
9211	11	37	175	False
33900	2	2	19	False
45403	2	2	11	False
12823	1	2	20	False
10955	5	11	36	False
10067	12	32	147	False
23968	6	12	35	False
34434	12	42	455	True
22511	8	18	35	False
38347	5	7	23	False
28576	11	58	225	True
28647	3	3	8	False
6081	2	2	16	False
6002	10	28	140	False
11024	2	2	12	False
16439	12	32	71	False
16436	5	6	38	False
15119	7	13	29	False
48562	1	1	7	False
42110	2	3	30	False
33359	8	14	34	False
50037	12	30	123	True
19201	8	23	65	False
50861	10	32	144	False
12239	1	1	9	False
34189	1	1	3	False
51214	9	30	80	True
33771	3	3	8	True
36423	3	6	13	False
51241	3	3	22	False
786	4	7	27	False
25652	10	19	345	False
30347	1	1	16	False
35103	4	7	13	True
40012	3	3	8	True
38298	1	1	8	False
506	9	17	823	False
6214	3	4	11	False
31740	11	36	121	False
28122	11	29	185	False
6770	3	6	21	False
22174	1	1	2	False
6767	4	6	61	False
33844	13	102	360	False
51041	2	5	27	False
18767	9	23	64	False
50872	10	28	57	False
44190	3	6	27	False
4461	5	7	16	False
48185	7	12	59	False
31765	7	11	26	False
34625	11	21	60	True
40162	1	1	10	False
32142	5	8	24	False
2324	9	25	57	True
15663	1	1	7	False
40415	10	34	65	False
37244	6	13	31	False
23595	9	31	94	True
25647	7	14	45	False
17450	8	8	20	False
24457	12	52	155	False
13997	9	27	69	False
42494	11	26	73	False
41809	7	16	284	False
7799	13	149	425	True
40193	7	8	114	False
35653	12	63	343	False
37804	13	28	171	True
51740	9	24	59	True
51143	1	1	12	False
35691	6	10	47	False
33368	6	9	31	False
36599	1	1	7	False
51748	2	2	21	False
18765	13	127	493	True
31319	4	5	35	False
802	10	20	157	True
774	10	26	42	True
18036	6	13	49	True
22768	8	16	30	False
29909	1	1	15	False
25202	13	32	95	True
48209	1	1	2	False
27901	1	1	23	False
2180	12	71	187	True
5685	2	2	8	False
52112	1	2	16	False
16834	10	47	118	True
44647	10	26	57	False
47895	7	23	49	True
23604	10	35	95	False
18546	9	15	38	True
6795	6	9	106	False
14020	9	23	36	False
7813	4	4	13	False
7804	13	57	203	False
43577	2	3	10	False
48260	1	1	5	False
23789	7	12	23	True
8176	1	1	6	False
3657	11	24	194	True
26024	2	2	18	False
9300	1	1	2	False
2955	1	2	3	False
3869	11	47	128	True
22182	1	1	2	False
38324	10	30	70	True
27043	8	10	15	False
51431	7	17	39	False
35301	2	2	17	False
48199	3	4	15	False
17835	12	69	146	False
38332	11	47	95	True
44635	7	14	216	False
12963	8	13	101	False
11984	1	1	15	False
9391	8	19	46	False
9406	4	6	16	False
33760	13	62	122	True
44058	11	18	54	False
44048	7	16	45	True
25222	3	6	14	False
2196	7	10	49	False
7294	1	1	24	False
35309	2	4	14	False
31519	1	2	27	False
20126	10	31	75	False
9529	3	4	12	False
37618	6	10	43	True
21045	10	18	114	False
20147	5	8	51	False
40562	1	1	8	False
49524	1	1	11	False
14922	3	3	9	False
1551	4	5	41	False
23778	7	21	66	False
26913	12	47	196	True
17602	2	3	8	False
48288	1	1	2	False
50864	12	50	176	True
44688	2	3	20	False
767	7	13	31	False
781	5	7	21	True
22506	12	69	458	True
30975	13	85	167	True
25203	13	55	207	False
39140	2	2	5	False
26640	4	7	13	False
33848	8	27	92	False
51433	5	12	33	False
46321	2	4	24	False
12836	3	3	26	False
98	13	61	158	False
38364	10	15	21	False
44960	5	7	16	False
22650	10	17	59	True
6195	3	3	23	False
16421	12	89	243	False
27710	1	1	12	False
17428	9	13	32	False
33864	8	15	66	False
43550	3	3	10	False
37988	2	2	28	False
37902	13	39	107	False
23498	13	118	377	True
35645	13	49	156	True
44966	10	18	23	True
1322	7	13	22	False
46082	2	3	5	False
34430	10	35	96	True
7108	9	22	66	False
51482	3	5	13	False
10063	12	38	213	True
47103	1	1	6	False
34437	11	90	229	False
41832	4	6	8	False
4188	1	1	9	False
42675	10	19	41	True
20155	6	9	59	False
47639	13	86	190	True
23602	12	36	85	False
5024	12	143	476	False
23608	11	29	88	True
15116	7	12	57	False
15145	11	31	80	False
6769	11	34	116	False
3261	1	1	2	False
38518	5	6	99	False
43552	4	11	32	False
48316	1	1	2	False
50918	5	6	29	False
26737	11	33	81	False
22413	1	1	15	False
29781	1	4	7	False
44070	9	22	65	False
6364	7	17	81	False
29250	13	57	101	False
