cluster_number	contributing_patients	num_tcrs_in_clust	total_reads	is_cancer_assoc
20775	5	7	49	False
14857	1	1	22	False
28576	35	230	920	True
25242	9	9	52	False
41827	28	97	405	False
2873	2	2	54	False
51453	14	18	62	False
20759	6	6	36	False
29791	13	16	51	False
1869	6	6	38	False
14763	4	6	38	False
31284	38	516	2422	True
19645	36	153	589	True
37184	1	2	47	False
37588	38	384	1236	True
38514	28	67	519	False
6606	33	186	613	False
15406	2	2	21	False
32638	25	59	178	True
22764	36	220	865	False
30971	38	224	1056	False
5024	39	580	3771	False
35347	15	35	149	False
2745	14	17	74	False
47641	36	194	527	True
27659	32	142	544	True
29120	6	8	93	False
4594	32	153	692	False
35667	33	204	1269	False
3667	27	63	331	False
7749	1	1	15	False
48171	32	200	842	True
10953	26	44	154	False
27479	33	107	473	True
46834	2	2	12	False
41825	19	34	118	False
42485	38	262	2680	True
6921	1	1	23	False
26901	33	175	2436	False
5038	20	40	136	False
23767	37	187	9370	True
34629	16	20	176	False
4470	10	10	75	True
39080	27	51	374	False
19022	5	6	48	False
7817	13	19	62	False
22319	34	132	616	True
39124	19	24	108	False
45393	33	176	1181	False
49160	8	9	21	False
27298	17	35	144	False
50659	15	22	62	False
1291	33	106	518	True
35729	19	34	168	False
32122	4	39	105	False
27323	13	15	52	False
29086	9	13	62	False
39479	19	39	272	False
1488	1	1	20	False
7108	30	106	276	False
27656	27	64	220	True
19871	32	101	243	True
27223	1	1	30	False
11496	17	33	216	False
41	2	2	43	False
34619	21	29	104	False
23778	31	110	498	False
39652	22	47	133	True
27123	38	455	3637	True
33849	35	422	3062	True
9211	33	157	739	False
25200	39	456	2469	True
9381	38	400	1430	False
28658	1	1	19	False
26905	34	177	1124	False
30761	31	95	822	True
20899	13	18	74	False
20367	37	479	5093	True
31998	1	1	12	False
27915	37	224	1746	False
6156	33	134	379	True
9384	35	226	1008	True
41076	1	1	23	False
18787	29	91	443	True
30543	1	1	17	False
10429	25	64	247	False
26712	2	3	28	False
49023	35	294	2044	False
42985	14	35	143	False
22330	15	20	680	False
3659	16	28	102	False
20370	24	84	308	True
13569	37	141	548	True
1522	38	438	3173	False
50870	15	38	169	False
47433	24	49	273	True
31429	38	223	1040	True
23779	31	84	653	False
26909	37	223	3237	True
44057	34	194	666	True
10062	32	164	717	False
16069	37	346	993	True
22654	20	29	496	False
41818	9	14	21	False
41958	1	1	5	False
27491	36	193	659	True
2904	26	61	202	False
31762	22	43	237	False
7821	30	81	293	False
50873	27	83	217	False
34270	21	39	120	True
30398	1	2	9	False
38989	1	2	20	False
32114	30	110	485	False
34441	35	113	306	True
31287	30	90	226	False
42254	2	2	29	False
3175	1	1	6	False
14711	19	30	126	False
22342	26	60	323	True
7531	37	259	2251	False
22352	17	31	128	False
37810	26	78	2421	False
7090	31	109	252	False
46314	29	122	386	False
20884	36	147	357	True
51480	4	4	24	False
4694	4	4	24	False
22184	1	1	8	False
25053	1	1	14	False
30783	19	24	139	False
44955	39	382	2551	True
21550	33	157	521	False
39646	23	57	757	False
1843	10	15	68	False
30530	25	44	198	False
52261	16	25	135	False
39999	23	50	223	True
32613	32	113	503	False
39462	35	214	869	True
7858	2	2	23	False
8157	3	3	16	False
25977	33	129	449	False
4054	28	72	388	False
30299	28	102	372	True
16420	37	263	1281	False
48587	36	253	1819	True
44959	37	414	1862	True
35318	8	10	72	False
18240	30	65	347	False
39478	27	43	98	False
31716	39	642	3465	False
51849	27	76	227	False
33610	37	205	1040	False
31720	35	295	2188	False
31804	9	12	82	False
1548	19	32	203	False
7801	34	170	799	False
9206	31	79	337	False
9399	24	50	187	True
48692	7	7	32	False
31147	36	168	1256	False
50665	16	26	178	False
31144	34	231	1014	True
33344	37	357	3136	False
1586	31	85	480	True
8709	28	119	792	False
18279	5	5	56	False
34413	1	1	29	False
22160	17	34	98	True
1309	37	378	1631	True
17456	15	19	40	False
36577	14	16	45	False
22326	16	22	255	False
25979	22	67	187	False
28446	2	2	14	False
48185	16	32	110	False
41826	12	14	51	False
51221	34	149	818	False
29026	2	2	11	False
42018	22	56	170	False
29444	36	228	949	False
13894	3	3	30	False
15984	1	1	42	False
28848	32	77	469	False
15139	38	233	1406	False
34443	25	64	211	True
17240	9	13	34	False
33339	36	405	2253	False
8815	1	2	21	False
14363	12	24	76	False
44960	15	23	88	False
40998	5	8	36	False
42030	22	54	195	True
7811	22	39	91	False
11217	28	61	159	True
13809	36	174	573	False
3341	34	114	850	False
7091	26	53	169	False
5443	34	125	330	False
5802	11	17	131	False
52250	18	33	71	True
13975	26	63	172	True
44055	37	276	1293	True
19869	36	152	397	True
6801	23	45	120	False
8539	21	57	375	False
39660	34	157	941	False
50647	8	10	31	False
51733	30	106	992	True
17033	35	210	840	True
24575	28	77	245	False
40427	8	11	47	False
1298	21	30	92	False
9879	26	57	196	False
26390	18	26	122	False
26389	6	6	19	False
32223	1	1	11	False
39844	1	1	13	False
17423	38	380	1986	False
1539	16	24	161	False
37912	28	76	318	False
3865	19	27	56	False
25258	5	6	280	False
38142	1	1	18	False
42536	11	16	60	False
1541	29	63	237	False
12455	22	36	192	False
38331	24	46	182	False
47125	17	22	82	False
23789	23	42	167	True
33555	2	2	12	False
24275	15	22	70	False
7525	37	252	1231	True
50025	39	705	4884	True
2984	1	1	5	False
47417	28	87	467	True
10403	37	317	1956	False
35167	6	9	281	True
23609	35	235	1149	False
46899	1	1	27	False
42203	2	2	17	False
42946	23	48	523	True
18242	15	19	64	False
14051	12	14	31	False
18775	37	202	3113	True
20901	26	78	214	True
47262	15	25	69	False
41809	24	51	283	False
50430	34	89	336	False
29319	1	2	14	False
9213	29	97	429	True
42510	33	116	603	True
27484	28	93	974	False
18768	33	118	612	False
27133	36	219	1068	False
42948	25	65	131	False
44431	2	3	31	False
16428	27	84	294	False
13992	33	121	401	False
32010	1	2	8	False
1795	37	220	1163	False
7802	13	17	118	False
7940	21	47	3237	False
30769	7	10	310	False
51177	2	2	30	False
50987	2	2	15	False
747	29	71	209	True
33783	14	17	51	False
6395	1	1	50	False
28567	37	309	1583	True
22763	32	102	389	True
33861	26	96	511	False
891	5	5	46	False
7949	25	67	194	False
25260	20	33	147	False
41864	4	4	93	False
46749	18	29	49	False
22698	5	7	47	False
13816	27	67	699	False
17066	14	21	100	False
5022	32	90	628	False
7595	24	46	170	True
22138	31	130	341	False
50047	20	32	107	False
33854	38	369	1613	True
40234	18	27	76	False
42496	30	88	298	False
18778	13	19	79	False
7128	24	48	112	False
2910	25	71	154	False
8755	12	20	137	True
42490	31	128	452	False
26748	16	28	112	False
25243	21	52	163	False
25652	28	78	356	False
51227	37	262	1160	True
1801	33	127	651	True
48329	1	1	5	False
23963	38	192	640	False
23595	36	186	955	True
27459	35	140	509	True
39477	31	128	706	False
17841	23	45	104	False
37908	24	53	200	False
39707	19	39	242	True
22311	10	15	53	False
31149	34	127	477	False
3867	19	30	110	False
27060	1	1	15	False
10122	5	5	27	False
50157	1	1	6	False
37811	34	126	524	True
25996	15	19	136	False
34444	23	50	90	True
4432	28	78	565	True
17828	31	92	313	False
22435	2	2	6	False
3658	35	176	1509	True
51726	32	123	497	True
8217	28	78	369	True
19677	5	5	26	False
49431	22	34	184	False
26725	24	73	245	True
26938	5	6	29	False
43145	37	262	1298	False
50452	6	10	77	False
32117	28	77	214	False
25197	35	212	1858	True
25196	37	225	3327	False
32116	34	248	1111	False
11000	22	27	380	False
50662	18	26	97	False
1337	21	33	80	True
47420	18	31	359	False
33919	6	12	60	False
31717	36	223	838	False
6017	8	9	57	False
22140	17	42	73	False
7799	39	525	9264	True
33845	39	428	2452	False
34025	2	2	17	False
1809	28	65	490	True
32175	6	8	17	False
31718	39	575	2560	False
9396	38	246	875	True
23103	2	3	12	False
47105	37	302	910	True
10420	24	63	539	False
23499	22	54	263	False
20125	38	243	688	True
37405	37	252	751	True
27876	1	1	9	False
26587	35	189	571	False
29769	35	104	345	True
34428	32	132	283	True
6169	19	34	116	False
41806	15	28	62	True
10642	32	115	797	False
27155	14	17	45	False
40184	31	115	502	False
18283	7	8	23	False
39662	28	63	330	False
23497	39	429	3382	True
492	21	60	174	False
24250	29	84	493	False
33334	35	151	2809	False
48364	1	1	4	False
3298	2	2	4	False
27053	20	31	244	False
45810	26	88	305	False
46311	27	147	1530	False
27470	25	69	264	False
34446	32	99	416	True
18035	36	219	558	False
20395	13	20	127	False
29796	8	8	24	False
24232	27	72	770	False
4595	19	27	1912	False
16435	23	66	310	False
6390	5	5	25	False
1558	19	38	153	False
33764	33	120	331	True
31799	20	29	154	False
44058	30	100	520	False
51225	22	78	572	False
7314	1	1	12	False
11683	13	27	134	False
33099	4	6	27	False
1583	20	36	146	False
9785	2	2	7	False
28644	23	53	156	False
11679	22	48	175	False
34602	31	99	555	True
25207	27	72	185	False
46329	35	218	1071	True
12936	38	238	1311	False
42944	38	290	1707	False
41817	24	49	166	True
8933	3	3	42	False
26736	28	62	334	False
45816	27	78	858	True
32804	22	42	158	False
15335	16	31	73	False
25662	14	17	39	False
1570	33	215	1404	True
27487	19	36	643	True
25769	1	1	5	False
37596	26	71	151	False
7526	34	163	476	True
15152	27	66	200	False
42928	34	172	2266	True
2069	1	1	17	False
48174	20	49	122	False
20127	39	261	1331	False
47898	33	102	1534	True
43552	30	58	170	False
42508	38	183	647	True
50883	31	113	341	False
8295	1	1	5	False
32266	1	1	5	False
10442	2	3	17	False
20374	26	106	909	False
20892	37	206	787	True
32609	38	536	3268	True
34742	2	2	10	False
3449	1	2	9	False
31769	23	29	92	False
24584	24	52	133	True
46347	5	10	26	True
31750	27	59	147	False
9391	27	108	311	False
37317	1	1	13	False
33864	26	54	234	False
23788	27	72	830	False
18761	25	50	198	False
33365	25	53	233	False
39716	26	59	252	True
4428	37	382	1502	True
34426	39	552	4905	True
14462	3	3	11	False
12458	27	68	115	False
41588	24	61	304	False
32624	37	185	437	True
11993	2	2	23	False
40218	26	46	364	False
39343	21	33	177	False
13991	37	278	1474	True
43646	10	12	28	False
51196	2	2	28	False
39650	35	249	1369	False
20881	38	381	1937	False
36198	22	36	72	False
32102	39	613	2420	False
31846	12	20	107	False
47901	32	110	368	True
42943	39	566	3101	False
31294	22	31	183	False
39693	26	60	396	False
31723	39	1331	17663	False
27675	23	57	204	False
1302	30	96	769	True
1330	11	15	113	False
17124	2	2	7	False
46319	32	206	731	True
1552	29	102	506	False
33844	39	372	1957	False
22337	20	34	179	False
22336	23	74	282	False
45388	31	187	981	False
1581	35	208	842	True
7951	23	43	307	False
22474	1	1	12	False
38521	27	86	204	True
3916	23	52	213	False
45814	9	11	53	False
16073	31	97	202	True
28605	27	87	274	False
44624	27	70	1289	False
738	38	157	461	True
45398	19	32	129	False
28564	34	139	454	False
31140	35	180	778	True
22310	25	40	154	True
15587	27	52	294	True
37679	4	4	12	False
2203	25	58	106	False
21310	8	9	24	False
25740	2	2	12	False
2916	11	14	24	False
27610	2	2	6	False
20908	31	95	527	False
41807	30	124	523	False
41911	3	3	78	False
13973	30	100	311	True
48178	24	61	250	False
17049	10	11	34	False
27670	27	107	401	True
783	29	87	273	True
31730	38	360	2099	False
19880	34	156	441	True
5585	1	1	9	False
17473	14	18	57	False
33359	19	41	236	False
14010	16	24	53	False
27506	7	7	31	False
39673	18	36	129	False
24600	16	20	79	False
48186	23	69	153	False
44945	38	180	403	True
44652	16	35	261	False
38336	19	30	111	False
34617	22	41	261	False
31141	12	17	38	False
39485	21	30	120	True
21552	11	17	158	False
45825	19	62	513	False
5023	33	144	1125	False
25973	34	136	451	False
50893	26	91	447	False
38987	1	1	7	False
1296	33	78	403	True
27065	17	23	44	False
29755	2	2	31	False
42153	2	2	4	False
18945	31	57	184	False
1557	28	92	641	False
42494	25	69	208	False
748	34	154	933	True
1327	11	14	45	False
42952	28	64	311	True
8636	1	2	15	False
35103	16	27	349	True
15385	4	4	17	False
4853	33	174	850	False
2959	4	4	6	False
39850	1	1	16	False
35696	16	26	94	False
13568	34	217	787	False
25193	33	98	413	False
26618	23	40	105	False
359	37	291	1234	False
370	31	102	515	False
27322	15	29	60	False
2961	11	13	27	False
14557	4	4	22	False
7084	39	392	3355	False
7103	36	190	1356	True
22505	28	61	216	True
16634	39	368	1112	False
9037	2	2	11	False
7803	17	25	91	False
51257	10	11	33	False
44243	7	10	39	False
11464	37	232	754	False
1319	20	31	155	False
790	8	11	34	False
17038	19	37	293	False
26586	31	126	590	False
10424	15	25	65	False
41287	1	1	19	False
33331	36	287	4743	False
7528	36	237	751	True
5044	11	20	98	False
23638	9	12	31	False
51361	2	2	16	False
12946	33	153	678	True
22639	29	91	611	False
28103	14	23	55	False
2221	21	48	77	False
45382	29	126	412	False
50464	10	14	211	False
2340	21	31	67	False
44623	36	256	1567	False
37964	3	4	16	False
35657	31	142	691	False
8237	4	43	277	False
48588	34	225	1287	True
22912	15	25	66	False
44950	33	180	747	True
34264	35	162	359	True
490	23	53	115	False
11586	3	3	6	False
42012	35	272	1279	False
22153	15	21	52	False
25648	21	39	142	False
24456	39	517	1525	False
48264	2	3	4	False
739	34	120	253	False
44980	19	34	66	True
39088	27	87	204	False
5800	37	238	1161	False
4605	32	103	2101	False
44634	36	207	579	True
4606	22	49	137	False
1535	37	216	3367	False
43560	13	21	489	False
18767	32	108	335	False
43151	21	41	151	True
4937	6	6	15	False
22780	35	90	465	True
41811	31	191	590	True
44226	18	30	121	False
20366	31	213	1885	False
12466	30	70	231	True
22702	3	3	35	False
380	9	13	35	False
44627	37	240	949	False
46754	32	134	645	True
34262	1	2	5	False
8064	2	3	17	False
23501	38	349	1727	True
17047	25	69	197	False
46045	18	27	130	False
47635	36	317	1216	False
22143	8	10	14	False
12273	15	16	36	False
42662	21	34	178	False
48188	28	81	193	True
5868	9	10	19	False
27490	28	66	340	False
33973	1	2	6	False
49154	31	88	2157	False
20365	15	31	138	False
46323	30	135	858	True
21029	38	143	468	False
7788	2	2	15	False
34623	31	94	475	True
43833	1	1	2	False
35707	16	26	70	False
25985	7	12	26	False
23798	17	34	135	False
51743	28	82	373	False
2032	3	3	11	False
48211	6	6	10	False
50426	28	60	123	False
31431	21	42	149	False
27928	25	69	184	True
15298	33	119	772	False
31289	9	11	27	False
52246	7	7	16	False
27330	8	12	48	False
27456	34	182	822	False
32291	30	81	533	False
39665	21	34	110	False
30990	33	158	1889	False
7133	14	19	142	False
733	32	121	794	True
44169	32	131	723	False
29127	2	2	12	False
2871	2	2	25	False
29252	37	253	750	True
41551	37	312	1094	True
41813	15	43	126	False
13977	33	118	494	False
24460	32	79	697	False
26456	4	4	11	False
22647	29	71	333	False
39725	17	30	86	False
26904	38	470	7967	False
39975	32	114	357	True
34434	36	133	958	True
28929	6	9	39	False
12996	13	17	43	False
33917	6	7	14	False
18245	28	62	332	False
41926	2	2	3	False
30975	37	431	1253	True
39326	16	21	847	False
35320	19	42	191	False
4621	23	40	119	False
10957	38	287	1034	True
25467	35	137	490	False
6241	2	2	5	False
43009	6	9	21	False
4847	31	136	340	False
363	32	106	261	False
35686	19	45	153	False
39332	22	33	117	False
20891	39	450	2856	True
47434	19	35	76	True
33361	27	83	339	False
41009	13	23	59	False
1626	5	5	14	False
51148	1	1	15	False
50439	25	72	193	False
25206	36	241	1154	False
39131	19	30	90	False
45835	17	36	163	False
34435	34	124	388	False
34436	39	791	3633	True
21553	38	214	619	True
5046	25	52	105	True
7873	8	9	30	False
8715	17	37	232	False
43832	1	1	7	False
20727	22	37	168	False
35067	20	46	110	False
5795	2	2	8	False
32789	32	117	596	True
47912	19	26	299	False
52233	35	182	1525	False
43522	2	2	5	False
31767	27	50	390	False
1631	11	17	48	False
14868	1	2	6	False
39655	27	82	206	False
36196	27	76	779	True
46052	18	28	94	False
28397	4	4	18	False
10974	7	12	49	True
25221	29	86	244	False
28242	2	2	9	False
42924	37	249	624	True
34896	19	32	66	False
39965	39	513	1782	True
18578	25	49	262	False
32115	36	170	1120	False
13982	27	75	210	False
40976	16	23	132	False
39334	5	5	11	False
35017	2	2	5	False
44372	3	4	15	False
46349	10	11	27	False
18649	3	3	18	False
4438	29	79	280	False
27174	5	8	21	False
42036	27	60	523	False
52247	5	7	24	False
9378	37	354	1350	True
3132	3	4	9	False
37832	9	11	33	False
51233	26	78	237	True
3882	21	32	143	True
4802	1	1	3	False
25269	4	4	28	False
7678	2	2	5	False
6326	2	2	10	False
11471	31	147	667	True
33530	2	2	14	False
3353	14	17	38	False
29269	5	5	29	False
44056	29	67	558	True
51231	28	79	453	False
104	21	36	154	False
1318	35	143	563	True
2899	23	44	138	False
41841	19	33	69	False
2936	3	3	8	False
50681	9	11	32	False
26739	12	20	422	False
10643	11	12	107	False
48303	1	1	3	False
44170	13	20	243	False
26599	38	366	1747	True
