cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
34458	2	2	3	16	23	46	False
16652	11	22	38	27	66	150	False
5175	11	29	347	34	95	424	False
11678	5	6	10	19	28	294	True
36093	1	1	2	1	1	1	False
41565	8	22	31	24	61	437	True
48790	9	21	53	35	96	267	True
5625	9	18	45	28	64	119	False
32826	4	5	10	15	23	29	False
5494	2	2	6	1	1	1	False
18511	1	1	3	1	1	1	False
20198	1	1	8	1	1	1	False
32986	1	1	2	1	1	1	False
11248	2	3	9	2	2	3	False
40600	6	11	26	15	24	73	True
7397	4	4	8	5	10	58	False
45121	9	13	60	32	65	258	False
48795	6	9	43	22	56	144	False
19655	6	11	38	21	41	89	False
28641	4	11	58	9	12	54	False
5809	6	6	16	12	17	126	False
6155	12	40	119	33	151	394	True
7531	13	62	151	37	259	2251	False
969	1	1	2	9	20	114	False
27666	9	12	38	30	57	190	True
15147	9	13	48	27	53	298	False
27133	12	57	118	36	219	1068	False
33337	12	42	129	35	204	926	False
15153	5	6	15	19	27	73	False
2903	1	1	1	3	4	18	False
48431	2	2	4	4	4	10	False
27131	12	35	170	35	134	369	False
52263	3	5	8	20	28	180	False
11979	4	6	10	18	33	87	False
21550	9	43	104	33	157	521	False
24565	13	77	190	35	235	716	True
8233	3	3	10	5	5	11	False
44102	1	1	3	1	1	2	False
14010	3	4	19	16	24	53	False
13989	8	20	104	27	71	128	False
47107	6	6	85	12	17	42	False
32453	7	13	46	21	35	266	False
31304	9	28	129	34	121	550	True
1651	2	3	5	11	17	74	False
7936	1	1	2	1	1	1	False
8694	7	12	28	28	66	146	False
42486	11	44	105	37	193	863	True
43565	7	11	34	17	20	2875	False
43646	1	1	2	10	12	28	False
42495	3	3	10	10	13	22	False
32309	2	2	8	10	11	38	False
41406	1	1	4	3	3	5	False
18235	11	42	116	29	114	546	False
37817	11	23	187	21	56	271	True
14299	1	1	3	1	1	2	False
7940	7	11	25	21	47	3237	False
22319	9	31	132	34	132	616	True
3701	4	4	11	13	19	42	False
26889	1	1	2	1	1	2	False
39755	5	7	17	7	9	57	False
35817	1	1	2	2	2	3	False
49844	6	7	24	18	27	101	False
3343	9	23	40	27	82	274	False
35666	7	27	54	29	134	298	False
43150	6	15	24	28	75	334	False
33329	3	5	8	19	23	50	False
5444	11	38	68	29	114	531	True
34394	1	1	1	1	1	2	False
28336	10	40	73	36	177	393	False
20892	13	44	183	37	206	787	True
9220	6	9	22	16	32	42	False
13593	1	1	1	5	6	6	False
28413	1	1	1	1	2	5	False
7160	1	1	1	1	1	1	False
15726	6	11	12	20	37	231	False
33777	2	2	6	8	8	14	False
10645	6	7	13	22	31	64	False
15351	1	1	1	1	1	1	False
10429	6	10	19	25	64	247	False
44169	10	38	119	32	131	723	False
24224	7	20	93	20	46	326	False
39084	11	20	53	30	97	718	False
27063	7	11	17	20	41	82	False
27044	13	86	160	37	322	1122	False
46313	8	23	50	23	64	283	False
20389	3	7	64	18	36	97	True
32628	8	15	31	23	44	560	True
11469	7	12	26	21	41	832	False
16673	3	4	5	5	6	26	False
16644	13	86	211	36	255	968	True
26155	7	14	19	26	48	169	True
10957	13	88	512	38	287	1034	True
29831	2	2	3	2	2	4	False
26172	6	6	11	13	23	94	False
40833	12	28	77	36	154	684	True
2890	4	5	5	23	35	67	False
24593	2	2	4	3	3	19	False
5020	6	11	15	29	65	466	False
45368	1	1	10	1	1	1	False
21057	5	10	29	23	41	113	False
41629	1	1	9	1	1	2	False
17987	1	1	5	3	3	3	False
33612	11	33	69	34	114	380	False
31789	5	5	6	13	20	108	False
29458	11	15	65	24	41	195	False
49200	6	6	64	16	17	365	False
10707	2	3	9	12	16	22	False
5452	8	22	40	30	96	176	True
50426	10	18	34	28	60	123	False
32144	3	4	11	9	12	31	False
40038	2	2	3	3	3	4	False
48181	10	27	50	31	114	240	False
32801	10	36	86	34	118	398	True
4472	2	2	5	13	18	25	False
41179	3	4	12	9	13	14	False
12944	12	33	123	32	95	401	False
7594	4	5	9	8	9	20	False
6153	12	29	107	37	177	716	True
47924	6	7	140	14	20	36	True
28795	10	36	169	33	163	596	False
13809	12	42	103	36	174	573	False
42969	7	8	33	19	28	45	False
9397	11	26	48	29	88	188	False
42953	10	27	107	32	99	340	False
23627	9	21	44	28	82	758	False
27166	2	3	6	11	13	35	False
14943	6	12	34	24	46	163	False
37222	12	39	142	34	166	597	False
23622	3	4	16	14	20	163	False
52217	13	59	203	33	205	787	False
5510	1	1	2	6	6	11	False
13039	4	5	8	4	4	6	False
4611	8	12	16	15	26	120	False
47133	5	7	11	21	40	110	False
18983	4	4	89	14	16	89	False
18977	5	5	15	19	30	48	False
41863	1	1	1	1	1	2	False
13986	7	12	22	15	31	144	False
34697	1	1	1	1	1	15	False
13992	11	34	81	33	121	401	False
41925	3	3	10	3	3	11	False
27303	7	9	21	24	51	321	False
8682	7	11	20	25	52	293	False
8698	5	6	11	19	32	723	False
25044	1	1	6	1	1	1	False
43618	1	1	1	15	23	68	False
27470	8	22	40	25	69	264	False
43554	6	11	69	27	46	124	False
1542	9	12	22	28	94	660	False
24801	1	1	2	2	2	4	False
32613	11	28	82	32	113	503	False
18785	5	5	10	19	32	286	False
33417	2	3	3	12	15	44	False
20743	2	6	10	15	28	88	False
23504	4	8	28	17	24	91	False
39688	8	16	32	27	55	227	False
36652	1	1	3	1	1	6	False
7973	1	1	2	7	9	17	False
7955	7	11	41	23	54	248	False
23950	1	1	1	1	1	1	False
31159	8	20	574	28	66	419	True
31196	1	1	1	1	2	3	False
39643	12	35	192	34	163	711	True
51031	9	15	28	26	59	235	False
20785	3	3	5	3	3	5	False
50680	1	1	6	1	1	1	False
22348	8	15	22	28	54	131	False
17615	5	9	25	24	64	128	False
17601	6	9	18	23	47	146	False
3761	1	1	3	1	1	17	False
35725	4	8	29	11	15	192	False
18789	2	2	4	4	8	12	False
18809	2	3	4	8	11	43	False
18788	7	9	118	23	46	152	False
50948	1	1	1	2	2	2	False
18368	1	1	1	2	2	3	False
15587	5	12	46	27	52	294	True
22711	2	2	8	1	1	1	False
7158	2	2	3	2	2	2	False
20924	6	7	35	11	13	44	False
22649	8	20	43	25	65	310	True
29789	5	6	12	8	13	44	False
20894	1	1	4	18	27	110	False
50443	7	14	25	18	28	51	False
22791	2	2	3	3	3	9	False
30747	8	19	37	31	109	747	False
3879	5	7	12	22	32	111	False
17192	1	1	2	1	1	1	False
51251	9	15	32	30	103	441	False
28324	6	7	11	23	42	98	False
28343	6	11	20	27	71	142	False
22505	7	17	23	28	61	216	True
46032	6	12	19	27	51	332	True
22926	4	6	7	20	31	66	False
36729	2	2	6	13	14	1292	False
1512	1	1	1	2	2	2	False
17066	5	10	13	14	21	100	False
3883	4	5	17	15	31	54	False
46174	2	3	6	1	1	2	False
1347	1	2	3	11	15	29	False
30972	4	7	13	13	19	46	False
36699	4	7	18	13	23	91	False
24382	1	1	7	2	2	2	False
34105	12	42	106	33	214	642	False
25248	2	3	7	6	6	14	False
39162	2	2	3	6	7	15	False
27054	3	4	13	6	7	62	False
39111	2	2	15	6	7	8	False
26588	12	54	128	35	193	593	False
2199	11	23	91	34	120	464	True
45572	1	1	2	1	1	2	False
35328	2	2	4	8	14	83	False
51538	2	3	6	1	1	1	False
48175	1	2	3	14	28	131	False
35318	1	2	6	8	10	72	False
45835	2	2	5	17	36	163	False
45829	8	19	36	24	64	389	False
44977	6	7	23	21	33	71	False
9549	4	4	20	6	7	13	False
4608	12	58	175	34	161	629	False
11216	7	16	53	28	53	576	False
16678	2	2	4	6	7	17	False
11718	10	18	25	23	50	102	False
