cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
50450	7	19	65	25	52	181	False
28582	9	32	86	28	96	376	True
28574	10	20	46	29	121	1248	False
22303	1	1	1	1	1	1	False
7568	10	27	88	31	106	362	True
12975	3	6	16	6	6	23	False
4659	4	5	10	17	22	139	False
6790	7	15	70	28	58	144	True
1016	1	1	2	2	2	2	False
28835	5	9	37	26	51	165	False
5025	12	32	82	35	111	297	False
6788	6	6	24	22	33	105	False
38689	12	19	43	29	76	197	False
27129	7	9	49	29	80	1051	False
16440	12	39	93	35	145	418	True
46588	7	17	56	32	88	286	True
34273	10	19	48	30	67	190	False
42035	10	24	73	29	88	411	False
49577	1	1	11	1	1	4	False
21802	2	2	5	2	2	4	False
34600	13	85	195	38	365	2309	True
30061	4	8	12	21	37	82	False
30170	1	1	7	1	1	1	False
17435	12	56	97	36	220	2354	False
42936	10	17	58	30	79	424	False
50079	3	4	8	10	14	184	False
27332	5	5	14	14	20	68	False
1546	12	26	78	32	141	502	False
27290	4	8	17	19	34	200	False
8679	9	21	65	31	100	233	True
32460	8	9	57	21	41	192	False
42539	2	3	5	14	17	63	False
42490	11	39	81	31	128	452	False
8793	2	2	3	9	11	36	False
1604	3	3	17	5	6	23	False
23774	13	69	176	35	274	1863	True
14201	3	4	15	13	16	242	False
7948	9	18	91	23	46	131	True
7959	6	9	19	25	45	382	False
39478	6	11	30	27	43	98	False
18776	9	31	100	32	138	527	False
49830	5	6	20	16	20	116	False
26905	13	51	193	34	177	1124	False
39714	3	5	16	17	24	59	False
22370	2	2	3	2	2	3	False
35731	5	7	16	16	22	38	False
39683	9	23	56	29	101	482	True
26725	10	14	155	24	73	245	True
50649	4	9	18	15	24	74	False
39644	10	19	59	27	67	887	False
50876	8	11	66	21	36	187	False
50652	4	5	17	13	18	101	False
39684	3	4	12	18	23	62	False
43144	5	8	22	22	32	74	False
43207	1	2	3	4	4	14	False
18777	4	5	19	11	14	22	False
33780	2	3	9	22	35	65	False
29620	3	4	11	9	11	21	False
30745	11	38	185	36	141	519	True
2763	1	1	2	2	2	2	False
39365	3	4	30	8	9	21	False
22778	5	7	8	18	24	54	False
6679	1	1	1	1	1	1	False
30754	10	41	82	31	174	408	True
20906	8	21	39	33	102	348	False
6617	3	6	14	14	32	91	False
28101	12	28	418	32	117	341	False
36191	10	18	57	32	101	464	True
22507	11	33	84	29	105	573	True
741	7	12	42	28	57	139	False
32619	8	11	100	19	25	225	False
17838	12	31	64	33	104	294	False
44172	9	17	28	30	63	296	False
24212	2	2	2	6	6	14	False
24247	8	14	34	22	33	103	False
14353	6	12	29	24	65	163	False
9721	2	2	3	3	3	4	False
26586	11	38	64	31	126	590	False
45451	2	2	3	1	1	1	False
20424	1	1	3	10	12	60	False
33893	1	2	4	8	12	52	False
35344	2	2	12	1	1	1	False
51437	8	22	35	20	44	120	False
51420	7	22	236	24	93	480	False
37590	13	55	123	35	209	12235	True
16633	10	31	87	31	92	241	False
16006	1	1	7	1	1	2	False
11687	11	48	133	32	157	702	True
36380	13	119	379	38	446	3869	True
15616	5	9	13	8	9	13	False
31763	8	9	17	16	29	139	False
17832	8	17	36	24	60	230	False
48603	4	8	10	15	22	31	True
11230	7	8	16	15	22	36	False
13613	5	9	11	15	26	75	False
12474	1	1	10	1	2	8	False
13846	1	1	3	4	4	8	False
49025	10	25	41	30	74	262	False
44998	3	5	6	14	17	32	True
48584	13	104	438	38	390	1064	True
32790	7	8	21	15	22	67	False
490	7	16	26	23	53	115	False
9202	9	19	27	28	70	235	True
33338	12	47	83	34	136	821	False
29603	11	23	31	30	78	254	True
5459	9	18	68	20	39	75	False
5442	13	81	197	38	197	778	True
45154	2	2	15	8	10	43	False
29450	5	7	24	15	24	58	False
22905	12	42	80	35	150	938	False
497	2	3	21	7	9	13	False
51868	1	1	5	6	6	78	False
13297	4	8	11	14	28	40	False
41825	11	21	34	19	34	118	False
9396	11	71	219	38	246	875	True
6168	9	13	35	23	30	314	False
6175	6	10	32	18	32	64	False
19636	9	24	68	27	64	238	True
28614	4	5	39	19	30	96	False
19682	2	2	4	3	3	5	False
23097	12	30	127	29	129	578	False
22155	7	10	21	22	45	738	False
28811	6	10	38	23	50	160	False
42962	3	5	8	7	10	22	False
27141	9	16	62	28	82	463	False
15129	5	11	44	12	17	31	False
15142	8	10	55	21	29	156	False
40409	5	12	59	18	40	111	False
41055	4	6	7	7	7	17	False
52216	12	58	188	37	212	819	False
42748	1	3	4	2	3	13	False
49442	11	21	43	26	71	197	False
52227	6	11	35	17	28	80	False
4879	4	8	15	15	25	601	False
46600	4	9	19	23	40	105	False
9382	7	19	30	26	64	295	True
11464	11	62	120	37	232	754	False
16376	1	1	6	1	1	1	False
29475	4	4	30	15	17	84	False
41707	1	1	2	2	2	4	False
12946	11	37	184	33	153	678	True
14016	3	5	31	10	10	61	False
24462	10	24	69	29	94	254	False
24460	9	24	48	32	79	697	False
9542	6	7	15	25	36	140	False
24458	7	16	41	22	38	1725	False
32456	6	14	31	31	93	338	False
42517	1	1	5	12	16	26	False
7801	11	33	117	34	170	799	False
29086	3	7	34	9	13	62	False
27314	4	6	15	15	32	60	False
7816	4	5	18	15	25	53	False
1613	5	10	29	24	58	240	False
24564	12	42	132	36	182	923	True
50874	10	42	156	33	169	866	True
18246	10	18	30	30	70	251	False
25985	3	3	6	7	12	26	False
50910	2	2	11	10	10	389	False
49888	1	1	2	1	1	3	False
35700	9	14	52	24	51	649	False
50898	9	23	57	25	81	474	True
7950	9	29	71	30	96	319	True
39673	7	9	20	18	36	129	False
17611	3	4	6	19	28	96	False
14714	6	12	25	27	48	190	False
49823	2	4	17	19	30	116	False
14793	2	2	3	2	2	2	False
22333	4	4	11	19	31	66	False
3667	11	20	39	27	63	331	False
39646	4	10	24	23	57	757	False
39708	2	4	5	9	11	15	False
19214	3	4	15	11	11	21	False
48235	1	1	1	1	1	1	False
18823	3	3	5	14	19	73	False
33408	2	2	5	6	7	15	False
40984	9	21	135	34	117	423	False
22912	8	10	19	15	25	66	False
20918	3	5	10	16	26	64	False
30278	3	3	7	17	27	106	False
51240	4	6	117	14	17	88	True
15293	9	14	30	23	44	209	False
10971	5	8	400	20	42	516	False
38918	3	3	11	17	23	98	False
31429	11	38	126	38	223	1040	True
7086	3	4	5	19	30	84	False
47417	11	28	44	28	87	467	True
20905	8	15	26	29	90	668	True
29768	12	42	96	34	150	692	False
36386	10	17	46	23	43	93	True
39349	4	5	8	20	24	38	False
51220	6	15	37	25	56	352	True
747	8	15	29	29	71	209	True
22783	5	6	15	19	30	184	False
791	4	5	8	10	10	15	False
17054	3	3	8	7	9	27	False
20930	6	6	25	14	16	410	False
34475	2	2	3	7	7	42	False
39347	10	23	68	29	85	695	False
32608	13	26	47	30	90	306	True
36211	6	8	12	21	48	599	False
9519	6	19	88	27	99	185	False
31298	11	52	181	38	197	3720	False
44217	6	14	105	29	55	206	False
2899	8	30	79	23	44	138	False
44602	1	1	8	1	1	1	False
4056	11	34	91	36	160	347	True
45847	1	1	2	7	9	6310	False
51432	8	16	38	23	54	258	False
51522	1	1	4	1	1	98	False
45562	1	1	4	1	1	2	False
45380	11	71	352	37	295	1477	True
27180	2	2	10	2	2	3	False
10973	7	13	31	19	42	161	False
49034	11	31	67	31	121	1143	True
30671	1	1	3	1	1	1	False
46924	9	16	51	20	28	192	True
43374	1	1	5	1	1	1	False
15292	13	87	249	36	270	972	False
