cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	is_cancer_assoc
31147	12	36	160	32	105	881	False
22328	11	28	89	32	89	662	True
39690	5	6	15	17	26	293	True
17642	2	3	3	3	4	6	False
35652	7	17	71	22	51	263	True
39665	5	6	17	16	23	82	False
26740	6	8	9	10	15	66	False
22353	7	8	29	11	19	47	False
22326	5	5	7	16	23	71	False
22340	3	4	9	16	20	36	False
35693	8	19	46	24	49	1456	False
26957	1	1	2	4	4	5	False
35707	4	8	20	12	19	79	False
23946	1	1	1	2	2	2	False
31143	6	8	13	15	22	95	False
35732	1	1	1	4	4	20	False
26922	9	14	31	10	18	150	False
43156	2	2	2	7	7	9	False
37918	10	23	57	27	61	182	False
51750	4	6	11	10	16	42	False
1967	5	6	12	14	18	23	False
30274	8	11	19	21	39	75	False
40871	1	1	2	3	3	6	False
33596	6	9	18	24	43	91	True
3928	1	3	5	11	12	197	False
17049	6	11	21	6	9	12	False
20941	2	2	4	3	3	9	False
36695	7	10	23	15	21	42	False
41359	2	2	5	1	1	5	False
29776	5	10	19	21	35	64	False
28105	10	30	53	34	94	522	False
20896	12	35	79	32	122	1364	True
50452	4	6	10	9	10	15	False
6624	3	8	28	9	9	21	False
48629	1	1	1	2	2	2	False
28334	7	14	65	29	51	128	False
28384	3	4	9	9	10	17	False
15736	3	3	4	3	4	8	False
28352	5	6	12	11	14	25	False
748	11	36	103	35	134	521	True
1311	11	23	55	26	56	127	False
494	9	15	22	26	58	112	False
30767	4	6	7	9	14	19	False
17046	3	4	5	8	9	14	False
13289	7	15	19	27	52	120	False
37628	7	10	15	13	20	36	False
39976	6	7	13	10	14	36	False
40857	2	2	3	7	8	19	False
38334	8	13	27	12	15	21	False
13707	1	1	2	1	1	10	False
24239	2	3	4	6	6	16	False
1809	10	13	36	30	55	193	True
44194	7	12	29	17	29	119	False
1815	10	29	58	29	75	163	False
25243	9	15	65	18	30	94	False
25228	7	11	37	20	44	327	False
31476	2	3	8	4	4	7	False
26612	6	9	22	12	15	31	False
39102	2	3	6	3	4	6	False
9736	2	3	6	4	4	8	False
9728	1	1	2	1	1	1	False
27047	7	11	15	23	53	236	True
14365	5	8	15	11	15	80	False
39080	8	18	33	22	58	309	False
14363	4	4	5	12	20	30	False
39144	1	1	2	2	2	2	False
49233	3	5	7	10	13	35	False
30276	7	15	97	17	26	57	False
20442	3	5	8	5	5	9	False
20375	5	18	38	24	46	190	True
35381	2	2	12	5	6	115	False
29456	6	7	50	14	16	47	False
28261	1	1	6	1	1	5	False
11397	1	1	1	1	1	1	False
25485	4	5	6	9	12	21	False
34435	11	39	75	30	92	296	False
11013	2	2	14	8	9	65	False
16668	5	11	23	21	32	69	False
40829	10	13	40	23	43	94	False
10984	4	4	89	6	9	38	True
29769	10	22	51	27	72	169	True
10064	10	52	432	34	154	371	False
48596	11	36	83	28	104	404	False
16657	9	21	100	24	52	94	True
43846	12	66	173	32	133	1673	False
13302	3	3	7	11	15	26	False
48783	8	13	25	18	28	75	False
32151	2	3	5	7	8	20	False
9536	13	31	65	23	62	226	True
38320	7	11	20	13	22	27	False
49037	8	14	29	19	35	62	False
30279	9	28	55	18	42	61	True
11272	1	1	3	2	2	2	False
40598	4	8	10	17	29	73	False
32847	1	1	1	6	7	13	False
100	4	7	12	10	15	20	True
39966	11	29	61	26	53	185	True
33689	1	1	1	2	2	92	False
5447	9	18	60	22	35	127	True
32962	1	1	2	1	1	1	False
36979	2	2	2	5	5	15	False
48214	1	2	2	2	2	2	False
2946	6	11	15	10	16	27	False
21265	3	4	6	6	8	15	False
21288	5	9	19	11	13	22	True
23972	7	10	11	12	23	110	True
20128	5	8	15	10	15	16	True
31029	3	3	5	6	7	10	False
49179	1	1	3	3	3	3	False
10950	13	43	181	30	111	1023	True
15597	8	22	33	19	43	80	False
9283	1	1	1	1	1	1	False
44967	8	17	83	22	38	97	True
33598	5	8	13	14	20	44	False
49026	5	9	24	12	12	269	False
49028	13	76	219	31	157	517	True
34110	7	10	35	19	29	121	False
15734	5	13	22	12	18	105	False
21251	10	18	70	25	59	158	False
35060	12	50	93	32	131	453	True
