cluster_number	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
39097	25	63	216	27	54	249	False
39162	4	4	6	6	7	15	False
45820	25	48	305	24	56	130	True
26577	3	3	10	1	1	1	False
34623	25	60	206	31	94	475	True
42517	12	16	112	12	16	26	False
8694	26	46	150	28	66	146	False
7827	20	43	95	28	63	301	False
27299	5	5	17	9	10	17	False
32290	28	70	394	31	101	557	False
18764	37	321	1187	38	419	3149	True
49850	5	5	22	7	8	10	False
3656	18	31	176	25	53	442	False
37902	33	87	310	35	142	698	False
35706	9	12	19	18	29	215	True
25970	38	488	1779	39	714	8168	False
50863	20	31	97	19	33	127	False
8218	8	9	13	12	15	42	False
3880	18	25	59	17	25	77	False
17877	5	6	8	5	6	21	False
8345	2	2	3	2	2	2	False
22908	31	91	1066	33	130	284	True
44962	31	95	289	30	151	1061	True
10081	1	1	1	3	3	3	False
44206	4	4	7	8	10	22	False
31717	36	172	666	36	223	838	False
27926	19	28	37	23	38	127	True
5813	34	160	456	36	214	793	True
10218	1	1	2	5	5	15	False
46598	20	30	181	21	33	105	False
6766	17	24	76	12	23	86	False
4852	22	41	106	24	58	187	False
23620	27	73	524	28	108	573	False
14907	32	86	309	34	144	1335	False
31736	34	151	844	33	199	1779	False
40983	13	19	34	24	40	138	False
50028	39	396	1677	38	595	2695	False
27460	38	142	440	36	225	1706	True
11000	14	22	92	22	27	380	False
18787	22	65	218	29	91	443	True
38098	5	5	7	1	1	1	False
3748	1	1	2	2	2	3	False
50655	25	47	267	25	66	323	False
43145	37	194	644	37	262	1298	False
42993	9	10	25	10	16	22	True
51229	28	87	350	32	110	596	True
34433	21	43	126	28	71	251	False
22641	32	104	416	34	121	297	False
20906	27	69	338	33	102	348	False
28334	29	51	128	27	66	295	False
40987	37	172	458	37	206	632	True
46082	7	10	21	9	13	39	False
1304	22	43	144	24	54	500	True
1378	7	10	142	11	15	24	False
7428	1	1	4	1	1	1	False
44060	23	47	122	30	69	126	False
808	17	24	94	10	18	131	True
20921	8	9	20	8	9	42	True
30981	27	66	152	33	86	520	False
46027	26	56	93	31	86	221	False
29454	12	16	28	16	23	73	False
44186	12	15	337	19	31	57	False
5452	26	63	153	30	96	176	True
33632	4	4	18	8	9	14	False
19975	1	1	1	1	1	1	False
28615	29	82	850	31	98	455	False
29439	36	264	1384	38	307	2905	True
9893	23	35	95	17	32	1233	False
16439	29	77	278	30	93	202	False
52237	23	40	77	23	49	108	False
42019	38	148	314	38	184	913	False
14917	22	36	322	25	53	227	True
42488	35	137	668	39	188	574	False
42486	36	114	290	37	193	863	True
18258	11	17	52	15	25	164	True
43156	7	7	9	8	11	38	False
37927	21	42	90	23	50	171	False
50880	32	114	258	34	168	843	False
20749	7	7	11	8	8	110	False
50868	25	56	182	26	67	197	False
19344	23	35	163	23	46	202	False
43148	34	123	555	37	171	1245	True
15425	2	2	3	3	3	8	False
39981	32	82	405	29	118	734	False
1322	26	60	178	24	67	179	False
1341	16	24	32	28	48	172	False
22850	2	2	3	1	1	1	False
22778	14	16	35	18	24	54	False
20933	12	13	33	9	11	165	False
33767	21	31	73	21	34	87	True
793	21	36	82	23	41	70	True
3960	3	3	3	1	1	1	False
28150	3	3	14	2	2	11	False
25221	29	62	134	29	86	244	False
41555	36	227	739	36	266	750	True
20141	13	16	275	17	29	49	False
5026	38	372	1047	38	537	3192	True
28621	5	5	29	6	7	14	False
19629	29	89	245	37	134	482	True
32109	31	89	391	34	130	440	False
4757	2	2	2	1	1	1	False
15121	31	76	156	28	97	209	True
49779	1	1	1	1	1	1	False
6762	37	169	533	38	273	3123	False
35283	1	1	2	1	1	1	False
14002	28	69	108	28	88	141	False
18952	27	53	146	27	94	7064	False
47104	21	26	137	18	36	61	False
21557	34	113	254	34	147	556	False
