cluster_number	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
42897	1	1	1	2	2	3	False
6206	1	1	2	1	1	4	False
16493	3	3	4	4	4	13	False
32203	2	2	4	1	1	2	False
39331	7	8	18	6	7	19	False
4764	2	2	7	1	1	5	False
11161	1	1	1	1	1	5	False
26304	1	1	3	2	2	11	False
34155	2	3	5	4	4	9	False
28868	2	2	4	2	2	2	False
6786	5	7	12	12	16	75	False
51831	1	1	2	1	1	1	False
51724	20	22	36	21	36	409	False
49102	5	5	11	4	5	20	False
39096	8	10	53	16	27	59	True
45131	6	6	9	1	1	1	False
33634	4	4	7	7	7	15	False
1619	9	12	29	22	29	71	False
40263	1	1	2	2	2	3	False
46427	1	1	1	1	1	2	False
37113	2	2	3	2	2	4	False
18637	4	4	6	6	6	32	False
9900	4	6	32	10	11	32	False
8809	3	4	8	5	7	33	False
15832	1	1	1	2	3	7	False
30639	1	1	2	1	1	1	False
22100	1	1	2	1	1	1	False
27949	12	17	45	14	20	45	False
52159	1	1	2	1	1	1	False
48642	1	1	3	1	1	1	False
13370	1	1	1	1	1	1	False
29141	4	4	6	3	3	6	False
12254	1	1	1	1	1	7	False
8163	1	1	1	1	1	1	False
46565	2	2	3	1	1	1	False
50661	7	7	22	14	17	33	False
12205	1	1	1	1	1	1	False
31136	1	1	1	1	1	1	False
2985	1	1	1	2	2	2	False
39661	12	15	40	13	24	177	False
39335	8	10	20	14	19	94	False
29908	1	1	1	1	1	1	False
34490	6	7	29	12	14	27	False
31437	13	13	57	12	18	381	False
48205	7	8	15	11	14	32	False
5866	7	10	83	9	12	16	False
15148	7	8	15	11	16	36	False
24885	1	1	1	1	1	2	False
4082	2	2	4	1	1	2	False
4122	1	1	1	1	1	1	False
16092	15	17	34	15	19	63	True
2898	4	4	5	6	6	14	False
30473	1	1	2	1	1	1	False
45442	4	5	31	6	8	18	False
5469	14	20	33	20	39	839	True
36135	1	1	2	1	1	1	False
47942	8	8	58	6	8	16	False
37487	2	2	3	1	1	1	False
34128	1	1	2	3	3	6	False
1653	1	1	1	1	1	1	False
23891	1	1	2	1	1	1	False
8018	1	1	3	2	2	3	False
18443	1	1	2	1	1	1	False
3932	1	1	2	1	1	1	False
24689	1	1	2	2	2	36	False
31446	5	6	22	10	13	43	False
32847	6	7	13	8	10	22	False
48865	1	1	2	2	2	2	False
42061	5	5	18	2	2	2	False
35695	3	3	5	6	7	12	False
38141	5	5	9	4	5	39	False
1849	2	2	3	2	2	2	False
17023	1	1	2	1	1	5	False
45873	4	6	12	6	6	8	False
23991	11	15	26	18	28	67	False
17883	1	1	1	2	2	2	False
6010	3	3	5	4	5	40	False
13095	1	1	2	1	1	1	False
15894	1	1	3	3	3	10	False
2975	2	4	4	7	7	15	False
29128	1	1	2	1	1	2	False
24594	5	5	15	9	10	15	False
19356	4	4	5	7	8	17	False
182	4	4	6	5	5	10	False
9839	1	1	2	1	1	1	False
9248	2	2	3	1	1	3	False
28139	5	7	15	10	10	17	False
44653	5	7	11	6	8	9	False
40183	9	10	17	8	9	146	False
21120	2	2	4	9	10	89	False
4751	5	5	10	5	5	13	False
29024	1	1	2	2	2	5	False
17486	1	1	1	1	1	4	False
26522	2	2	3	1	1	3	False
8606	5	5	40	1	1	4	True
17090	3	3	3	11	17	118	False
7320	1	1	1	1	1	1	False
45419	1	1	1	1	1	5	False
51528	3	4	5	5	6	18	False
26166	6	8	19	8	8	10	False
27932	6	6	10	10	13	24	False
18573	5	5	12	3	4	7	False
18738	1	1	1	1	1	1	False
3899	5	5	6	6	6	8	False
44413	3	3	5	2	2	4	False
13639	4	5	6	6	6	8	False
20162	10	14	79	17	26	60	False
38935	3	4	5	2	2	8	False
43595	10	11	86	10	14	42	False
1655	6	6	12	10	12	22	False
50705	6	7	13	7	7	31	False
33662	3	3	4	2	2	3	False
30294	13	14	44	15	20	48	False
42371	1	1	1	1	1	1	False
44325	2	2	2	5	5	7	False
29966	1	1	1	1	1	1	False
33593	10	12	18	16	22	110	False
32901	1	1	1	1	1	78	False
45339	1	1	2	1	1	2	False
23137	6	7	17	4	4	4	False
14967	1	1	1	1	1	6	False
46813	2	2	2	3	3	6	False
40482	1	1	2	1	1	1	False
35721	8	12	31	5	6	13	False
45408	11	14	85	8	14	104	False
33065	9	10	105	11	12	26	False
37760	1	1	2	2	2	3	False
38819	1	1	2	1	1	2	False
7833	4	4	6	7	8	27	False
21387	2	2	4	1	1	1	False
16306	5	5	12	4	4	9	False
16650	10	15	45	20	28	441	False
31456	10	15	19	16	22	50	False
35961	2	2	5	1	1	1	False
52262	7	8	12	8	10	12	False
31876	2	2	3	1	1	1	False
37950	1	1	3	3	3	10	False
3692	7	10	30	11	15	82	False
37935	5	8	39	7	11	32	False
39774	8	11	16	14	19	59	True
2724	1	1	1	1	1	2	False
11589	1	1	1	1	1	1	False
42678	11	14	21	15	22	42	False
28984	1	1	2	1	1	1	False
2857	1	1	2	1	1	6	False
46796	5	7	36	10	13	42	False
1649	2	2	2	3	3	8	False
8715	16	22	120	17	37	232	False
8688	13	19	24	20	30	1386	False
43186	5	6	7	4	4	12	False
45876	1	1	2	5	6	102	False
23964	16	24	65	21	38	141	False
34533	1	1	1	1	1	2	False
16534	1	1	1	1	1	3	False
42863	1	1	1	1	1	1	False
39517	1	1	1	1	1	1	False
14872	1	1	1	1	1	5	False
26001	11	12	26	18	26	139	False
417	3	3	4	1	1	13	False
42236	1	1	2	8	8	40	False
9716	9	11	38	6	6	10	False
51595	1	1	1	1	1	2	False
22553	1	1	2	1	1	4	False
49196	1	1	1	3	3	3	True
29599	2	2	4	3	3	4	False
16899	2	3	5	4	4	4	False
48780	16	33	41	27	44	100	False
21054	10	13	17	11	13	19	False
7544	5	6	11	8	8	13	False
10074	12	25	107	18	28	204	False
18599	7	8	12	7	8	15	False
14008	9	11	17	11	14	31	False
14033	5	6	15	8	11	35	False
13827	12	14	27	11	13	43	False
8794	4	4	6	4	4	10	False
18779	8	9	42	8	15	56	False
17703	3	3	41	2	2	2	False
26038	4	4	7	1	1	2	False
25021	1	1	1	1	1	1	False
22653	1	1	3	1	1	1	False
14696	1	1	1	1	1	1	False
14520	2	2	2	1	1	1	False
38767	3	4	5	2	2	4	False
47605	1	1	2	1	1	1	False
34200	1	1	1	1	1	2	False
9966	2	2	3	2	2	2	False
37919	15	17	89	13	18	61	False
20795	1	1	1	2	2	3	False
29299	6	6	41	1	1	2	False
45814	5	5	57	9	11	53	False
35563	1	1	2	1	1	1	False
45400	3	3	6	5	6	23	False
13887	2	2	2	1	1	1	False
19810	1	1	1	1	1	4	False
41036	2	2	3	4	4	5	False
18814	8	8	12	8	11	117	False
44079	8	9	70	11	13	106	False
44312	4	5	7	4	4	4	False
18472	1	1	1	2	2	2	False
5448	20	27	41	24	48	112	True
47945	4	4	5	1	1	13	False
41054	4	4	12	4	4	21	False
34341	1	1	3	1	1	2	False
18282	9	12	18	12	13	36	False
20013	1	1	2	2	2	2	False
30720	1	1	3	1	1	2	False
51486	5	7	10	11	13	59	False
11832	1	1	2	1	1	1	False
11013	8	9	65	7	9	25	False
12484	1	1	2	3	3	3	False
25496	4	4	9	1	1	4	False
2006	1	1	1	2	3	8	False
45187	2	2	3	5	5	5	False
21275	14	21	79	21	35	90	False
48777	4	4	5	4	5	16	False
40602	7	9	11	5	5	270	False
33070	2	2	3	1	1	1	False
47280	1	1	2	1	1	1	False
5846	13	26	79	24	57	246	False
49487	3	3	8	7	7	12	False
23802	4	5	7	8	14	34	False
39664	10	12	18	12	19	43	False
1357	5	6	11	3	4	20	False
29821	1	1	2	1	1	3	False
22660	12	14	30	12	19	31	False
23654	3	4	5	2	4	18	False
36132	1	1	1	1	1	2	False
41605	2	2	2	9	10	19	False
51887	1	1	1	1	1	2	False
6129	1	1	2	2	2	5	False
6027	5	5	6	5	5	8	False
7422	1	1	2	1	1	1	False
26809	1	1	2	1	1	1	False
26751	9	9	21	8	11	23	False
18833	9	14	344	11	13	77	True
42381	1	1	1	1	1	2	False
24214	6	6	10	3	3	4	False
14100	1	1	2	2	2	2	False
9767	1	1	1	1	1	2	False
48849	1	1	2	1	1	1	False
26362	1	1	2	2	2	13	False
20208	3	3	3	4	6	18	False
52330	2	2	4	1	1	1	False
11991	7	7	119	3	5	10	False
37324	4	4	6	1	1	1	False
39618	1	1	1	1	1	4	False
3372	6	8	19	11	11	35	False
22374	2	2	8	5	5	5	False
25684	3	3	4	3	3	13	False
31089	1	1	1	1	1	3	False
45429	12	21	83	19	35	125	False
10906	1	1	1	1	1	1	False
40580	3	4	5	9	12	17	False
29787	1	1	1	1	1	1	False
17383	1	1	1	1	1	1	False
31812	7	7	14	9	9	23	False
45632	6	7	7	5	5	5	False
7630	9	9	28	13	13	847	False
23161	2	2	3	1	1	5	False
31611	1	1	1	1	1	2	False
29235	1	1	2	1	1	6	False
19223	3	3	3	1	2	6	False
8141	1	1	2	1	1	1	False
46118	1	1	1	1	1	1	False
35335	4	4	6	7	9	12	False
12895	1	1	1	1	1	1	False
22906	23	61	129	25	77	156	False
30710	1	1	1	1	1	2	False
13687	2	3	6	1	1	1	False
2231	3	5	10	5	5	6	False
10693	6	8	27	5	9	10	False
50458	16	32	134	22	48	96	False
6204	7	8	13	12	13	68	True
5849	6	6	8	7	8	9	False
37236	10	13	21	15	19	39	True
43838	1	1	1	1	1	10	False
17725	1	1	1	1	1	1	False
45205	1	1	1	1	1	2	False
32811	20	37	125	27	65	144	True
18008	1	1	2	1	1	1	False
45676	4	4	6	5	5	6	False
21271	13	19	32	18	27	33	False
17272	1	1	2	2	2	4	False
47930	11	13	44	19	36	90	False
4977	1	1	1	3	3	839	False
21744	3	3	4	2	2	3	False
8851	2	2	4	1	1	1	False
14212	1	1	1	1	1	1	False
50916	5	5	13	6	7	13	False
12195	1	1	2	1	1	1	False
18271	4	4	4	6	8	23	False
36412	7	7	10	3	3	10	False
25265	5	5	23	10	12	33	False
24440	1	1	1	1	1	1	False
35350	4	4	37	1	1	5	False
51880	2	2	2	2	2	2	False
6386	9	10	44	12	15	27	False
171	2	2	3	1	1	13	False
49172	12	18	48	23	43	115	True
23978	5	6	18	5	7	12	False
16163	1	1	1	1	1	1	False
43932	2	2	3	2	2	3	False
42772	1	1	1	1	1	1	False
955	11	14	18	8	9	22	False
12993	4	4	5	1	3	49	False
48448	7	9	27	8	8	11	False
11131	1	1	1	2	2	3	False
43665	1	1	1	1	1	2	False
47288	2	2	2	5	6	16	False
25767	1	1	2	1	1	4	False
19296	1	1	1	1	1	1	False
19610	1	1	2	1	1	1	False
6375	8	10	15	10	13	20	False
25814	1	1	2	1	1	1	False
24339	1	1	1	1	1	2	False
39123	11	13	23	15	23	81	False
51479	7	10	132	10	14	41	False
46324	8	9	29	8	9	17	False
48741	1	1	1	1	1	1	False
43006	3	3	10	2	3	10	False
21110	1	1	1	1	1	1	False
30296	10	15	37	17	23	64	False
10451	7	8	10	9	13	19	False
21274	11	15	29	21	31	45	False
52090	5	5	12	2	2	4	False
5859	12	17	39	12	16	43	False
22061	1	1	1	1	1	2	False
9411	7	7	7	7	9	31	False
21853	2	2	26	2	2	5	False
19411	1	1	1	1	1	1	False
19442	1	1	2	1	1	2	False
45218	4	4	5	3	4	11	False
41250	1	1	2	1	1	2	False
2745	6	8	10	14	17	74	False
17956	2	2	2	2	2	6	False
5480	5	5	6	11	11	15	False
15760	2	2	6	1	1	2	False
29497	3	3	4	3	3	4	False
45213	1	1	1	1	1	1	False
42698	2	2	2	1	1	1	False
2212	11	15	25	22	31	51	False
48091	1	1	1	1	1	8	False
7545	14	20	207	17	21	107	True
6858	1	1	1	1	1	1	False
27240	1	1	3	2	2	4	False
40281	1	1	1	2	2	2	False
51093	2	2	9	3	3	4	False
23932	1	1	1	2	2	6	False
26837	1	1	1	1	1	1	False
8108	1	1	1	1	1	3	False
48752	1	1	1	1	1	1	False
28385	4	5	5	13	16	30	False
17083	5	6	8	3	4	31	False
16203	2	2	3	1	1	2	False
20376	16	25	127	18	31	88	False
17848	9	9	24	14	19	66	False
48678	2	2	2	3	3	10	False
49164	9	13	21	17	26	39	False
21052	3	3	4	2	2	7	False
14498	6	8	10	4	4	5	False
10	1	1	1	3	3	3	False
28751	2	2	4	2	2	3	False
28851	19	35	157	24	61	249	False
23834	2	2	6	6	6	11	False
36677	1	1	1	1	1	8	False
16721	1	1	1	1	1	1	False
12633	2	3	5	1	1	1	False
7373	1	1	1	1	1	3	False
45882	4	4	13	5	5	33	False
15328	4	4	5	3	3	4	False
7458	2	2	2	1	1	1	False
7539	8	8	38	9	11	17	False
46693	1	1	1	1	1	2	False
49423	5	5	17	6	6	72	False
41741	1	1	1	3	3	3	False
25160	1	1	1	1	1	1	False
17625	6	6	11	2	2	7	False
50692	3	3	3	13	14	39	False
20758	2	2	2	2	2	98	False
4499	1	1	1	1	1	1	False
14447	1	1	1	1	1	1	False
14435	1	1	1	1	1	1	False
24924	5	6	6	8	9	26	False
51568	1	1	1	1	1	1	False
45836	11	14	38	16	31	60	False
38565	1	1	1	2	2	4	False
444	1	1	1	1	1	1	False
5191	1	1	1	3	3	4	False
30585	3	3	60	3	3	11	False
34138	1	1	1	1	1	2	False
32925	1	1	1	1	1	2	False
534	3	3	3	2	2	6	False
30568	8	10	23	7	13	47	False
52073	2	2	2	1	1	1	False
50464	7	8	13	10	14	211	False
24614	7	9	11	3	4	11	False
23423	2	2	8	1	1	1	False
1367	2	2	5	2	2	2	False
49437	12	14	30	10	17	58	False
46824	1	1	1	1	1	1	False
9183	1	1	1	1	1	27	False
14850	1	1	1	1	1	1	False
11256	3	3	7	1	1	2	False
3927	6	6	8	10	12	186	False
44215	5	5	12	16	25	34	False
7361	1	1	1	1	1	1	False
26183	2	2	2	1	1	1	False
16851	7	8	13	8	9	14	False
6407	2	2	2	1	1	3	False
19896	7	7	11	10	15	26	False
2540	1	1	1	2	2	2	False
40617	1	1	1	1	1	1	False
49165	14	18	30	20	35	82	False
37070	2	2	4	2	2	3	False
52175	1	1	2	1	1	2	False
21946	5	6	6	12	17	33	False
28661	7	8	18	4	4	6	False
15539	1	1	1	1	1	2	False
5044	2	2	4	11	20	98	False
19766	2	2	2	1	1	2	False
19018	2	2	9	1	1	1	False
27368	5	5	6	4	6	33	False
22474	1	1	1	1	1	12	False
18254	3	3	13	7	7	17	False
34838	1	1	1	1	1	2	False
26067	1	1	2	1	1	1	False
30334	3	3	3	3	3	3	False
35319	7	8	11	13	16	37	False
45740	1	1	1	3	3	3	False
16	2	2	2	1	1	2	False
16666	10	13	27	10	13	51	False
32065	1	1	1	5	6	13	False
40004	14	23	47	19	39	99	False
47742	1	1	1	3	3	3	False
23988	10	12	14	12	15	38	False
4590	1	1	1	1	1	1	False
4468	2	2	7	4	5	18	False
5460	11	14	29	19	22	43	False
17962	1	1	1	1	1	1	False
28806	12	18	26	17	25	58	True
24603	4	4	8	1	1	3	False
9917	4	5	35	1	1	1	False
19197	1	1	1	1	1	1	False
27297	4	4	5	3	4	6	False
16191	1	1	1	1	1	1	False
25886	2	2	2	1	1	3	False
44270	6	7	58	6	8	11	False
44568	1	1	1	2	2	3	False
44330	1	1	1	1	1	1	False
51466	7	7	14	10	13	29	False
30970	18	22	47	20	29	46	False
12504	4	4	4	1	2	18	False
32810	7	7	9	14	22	30	False
43886	5	5	15	8	12	15	False
40821	1	1	2	1	1	3	False
13311	3	4	5	3	3	3	False
9223	3	3	5	4	4	6	False
46629	12	14	42	11	14	102	False
6184	8	10	21	12	14	27	False
19679	7	7	11	6	7	75	False
37701	3	3	3	7	7	10	False
11978	3	3	4	1	1	1	False
36449	1	1	1	1	1	1	False
2501	4	4	4	9	13	28	True
34003	1	1	1	2	3	9	False
44512	2	2	2	1	1	2	False
472	1	1	1	1	1	1	False
16940	2	2	5	1	1	2	False
13142	6	6	33	6	7	14	False
15003	5	6	11	6	8	10	False
42691	8	11	22	12	16	17	False
14604	2	2	6	1	2	28	False
8517	1	1	1	1	1	1	False
2792	3	3	3	3	3	3	False
37606	10	12	36	9	12	27	True
6043	6	7	21	6	6	12	False
41663	1	1	1	1	1	1	False
37220	7	12	24	14	17	44	False
46623	1	1	1	1	1	1	False
15157	1	1	1	3	3	4	False
15100	1	1	1	1	1	1	False
24492	11	11	30	7	7	17	False
26752	4	5	7	12	19	42	False
15394	3	3	7	4	4	12	False
1833	10	12	20	7	7	13	False
34567	1	1	1	1	1	1	False
5260	1	1	2	1	1	1	False
12495	4	4	6	4	4	5	False
11703	12	14	31	15	19	193	False
26282	1	1	1	1	1	1	False
594	2	2	2	1	1	1	False
42913	2	2	3	2	2	2	False
28780	1	1	1	1	1	1	False
35153	1	1	1	2	2	5	False
12058	1	1	2	1	1	3	False
16431	4	4	45	4	4	8	False
27251	1	1	1	3	3	3	False
25025	3	3	3	1	1	1	False
31166	9	10	34	8	8	16	False
14718	5	5	10	6	8	11	False
18455	1	1	1	1	1	1	False
25896	1	1	1	1	1	3	False
51421	15	21	46	18	35	89	False
10122	2	2	2	5	5	27	False
38300	1	1	1	1	1	1	False
26163	11	12	13	21	38	75	True
5481	9	9	12	10	14	20	True
9687	1	1	1	1	1	15	False
6949	5	5	6	8	10	19	False
48864	2	2	2	2	2	2	False
1148	2	2	5	1	1	1	False
9684	1	1	1	1	1	5	False
25188	1	1	1	1	1	2	False
27755	3	3	3	5	5	7	False
28229	1	1	1	1	1	6	False
44250	7	8	10	12	13	89	False
7380	1	1	1	1	1	1	False
31471	4	6	9	4	5	13	False
33007	1	1	2	1	1	1	False
18668	1	1	1	1	1	1	False
31789	11	13	96	13	20	108	False
34288	1	1	1	1	1	4	False
35103	11	16	25	16	27	349	True
20167	10	13	15	14	24	45	False
45656	2	2	3	2	2	4	False
49167	8	8	37	13	21	56	False
34488	9	12	22	10	11	49	False
4448	7	10	18	8	9	24	False
24784	1	1	1	2	2	18	False
19135	1	1	1	1	1	4	False
21844	2	2	3	1	1	11	False
21739	3	3	4	1	1	4	False
8726	9	12	15	6	10	44	False
7820	5	5	5	12	16	29	False
6640	8	8	14	1	1	1	False
1832	11	15	38	11	19	108	False
7235	5	6	7	2	3	3	False
46335	7	7	28	10	13	50	False
16967	1	1	1	1	1	2	False
12588	1	1	1	1	1	1	False
50284	3	3	4	3	4	12	False
12907	1	1	1	2	2	2	False
32895	1	1	1	1	1	1	False
11285	7	7	8	7	7	11	False
16091	13	15	40	18	24	35	False
43001	6	7	26	7	7	11	False
24569	7	8	13	10	11	30	False
20707	1	1	1	1	1	3	False
5495	1	1	1	2	2	2	False
5848	11	20	72	17	23	116	False
940	5	5	14	1	1	2	False
28846	5	5	10	8	9	12	False
50071	12	13	22	16	22	133	False
8728	9	9	17	10	11	19	False
36972	2	2	2	3	3	3	False
6686	2	2	2	5	5	13	False
1848	5	5	7	5	6	24	False
7309	1	1	1	1	1	3	False
9901	7	7	9	7	9	45	False
5244	1	1	2	1	1	1	False
50420	1	1	1	1	1	1	False
37611	3	3	3	4	4	28	False
17299	1	1	1	1	1	1	False
37001	2	2	2	4	5	12	False
11241	7	9	92	12	15	30	False
40594	14	24	36	14	25	124	False
5824	7	8	23	9	12	99	False
38954	1	1	1	2	2	3	False
15080	1	1	1	2	2	10	False
46827	4	4	4	3	3	4	False
25091	1	1	1	1	1	1	False
25260	9	14	221	20	33	147	False
52094	3	4	4	3	3	6	False
46345	2	2	3	8	11	39	False
13566	1	1	1	1	1	1	False
40844	3	3	3	7	9	15	False
7028	1	1	1	1	1	1	False
50295	2	2	3	4	4	10	False
37639	9	9	90	13	16	32	False
22915	5	7	8	9	10	13	False
50179	17	32	99	25	68	239	False
15067	1	1	1	1	1	1	False
18959	9	13	15	11	15	36	False
8764	1	1	1	1	1	1	False
49995	1	1	1	2	2	8	False
3480	1	1	1	1	1	1	False
10071	9	9	14	12	13	19	False
43300	11	12	49	18	32	104	True
15346	4	4	10	6	8	8	False
43862	4	4	4	6	7	20	False
21265	6	8	15	8	9	10	False
16697	8	10	16	12	15	21	False
15906	4	4	7	1	1	5	False
17358	1	1	1	2	2	2	False
52001	1	1	1	1	1	1	False
5860	8	9	22	12	13	78	False
50211	2	2	3	2	2	4	False
21718	6	8	11	10	10	14	False
4016	1	1	1	3	3	14	False
44210	4	5	22	11	12	20	False
305	1	1	1	2	2	3	False
41516	1	1	1	1	1	1	False
33156	1	1	1	2	2	2	False
12336	2	2	2	1	1	1	False
6029	2	2	2	4	4	10	False
23437	1	1	1	1	1	1	False
49566	1	1	1	3	3	84	False
37251	1	1	1	2	2	5	False
19268	1	1	1	1	1	1	False
35343	6	8	27	7	11	60	True
10560	2	2	3	1	1	1	False
25621	1	1	1	1	1	1	False
26493	1	1	1	1	1	2	False
26216	5	5	8	8	9	12	False
25468	18	27	53	19	23	65	False
26175	14	16	147	16	26	85	True
16438	11	14	40	10	16	26	False
33174	2	2	2	2	2	2	False
30520	11	15	35	19	42	321	False
4086	2	2	2	1	1	1	False
30938	1	1	1	1	1	1	False
10666	20	29	52	24	41	91	False
22693	3	3	3	1	1	1	False
16265	3	3	6	2	2	6	False
30223	1	1	1	1	1	1	False
30063	4	5	6	11	13	94	False
96	14	24	34	18	30	98	False
33044	13	19	37	12	23	27	True
20128	10	15	16	17	32	56	True
20189	10	13	19	10	12	16	False
20899	1	1	141	13	18	74	False
132	2	2	80	3	3	5	False
928	10	12	58	16	21	69	False
36721	9	9	119	6	10	16	False
7200	1	1	32	1	1	1	False
45444	3	3	70	2	3	41	False
22363	3	4	26	7	7	11	False
17739	2	2	19	1	1	1	False
8221	8	10	49	12	16	92	False
51438	12	22	80	14	34	360	False
43149	5	7	26	9	9	29	False
29655	1	1	19	1	1	1	False
44049	9	11	27	14	22	623	False
46254	1	1	7	1	1	1	False
9247	3	3	20	6	7	13	False
40217	22	34	84	27	64	254	False
27876	1	1	9	1	1	9	False
35388	1	2	14	1	1	2	False
41975	1	1	2	1	1	4	False
26099	3	3	11	5	5	76	False
2536	3	3	22	2	2	2	False
36719	5	5	18	6	7	12	False
29654	3	3	5	2	2	8	False
41479	1	1	2	1	1	1	False
24598	8	8	40	6	7	16	False
32147	1	1	8	1	1	1	False
15611	3	3	7	4	4	11	False
40456	1	1	11	1	1	4	False
8224	6	6	11	17	28	898	False
20079	1	1	5	2	2	4	False
30092	2	2	5	2	2	2	False
48207	2	2	3	4	4	7	False
36173	1	1	3	3	3	12	False
11352	4	4	34	1	1	5	False
1360	6	6	20	8	9	22	False
22296	1	1	1	1	1	1	False
50911	3	3	6	3	3	28	False
19608	1	1	4	1	1	2	False
35305	2	2	8	3	3	5	False
15658	1	1	9	1	1	1	False
173	2	2	8	1	1	1	False
2922	1	1	1	1	1	1	False
45434	12	15	372	20	27	187	False
872	2	2	4	1	1	2	False
42607	1	1	4	1	1	8	False
36746	2	2	4	4	4	4	False
6317	1	1	4	1	1	1	False
34073	1	1	4	1	1	2	False
22249	1	1	1	1	1	1	False
40243	5	5	15	8	10	24	False
13646	1	1	2	1	1	1	False
29558	1	1	7	1	1	1	False
50674	7	8	15	14	17	45	False
2925	1	1	1	2	2	4	False
8730	3	3	7	8	15	68	False
4679	4	4	14	1	1	13	False
11971	2	2	5	5	7	14	False
20431	10	14	40	12	18	41	False
44308	3	3	9	3	3	8	False
42655	1	1	2	1	1	6	False
46054	2	2	3	3	5	45	False
2056	2	2	6	2	2	9	False
49352	1	1	6	1	1	3	False
284	2	2	5	1	1	1	False
6711	1	1	1	1	1	5	False
6672	3	3	4	2	2	5	False
8112	1	1	4	1	1	1	False
30058	3	4	30	7	11	148	False
42221	1	1	10	2	2	8	False
31319	11	17	39	17	41	148	False
6646	11	12	138	12	14	33	False
52321	1	1	2	1	1	1	False
42066	3	3	5	1	1	1	False
20913	5	6	55	4	7	10	False
11488	10	17	31	21	36	70	False
14953	3	3	5	10	10	24	False
24854	7	8	102	3	3	11	False
28508	1	1	1	2	2	8	False
45249	1	1	2	1	1	1	False
16468	1	1	7	3	3	4	False
46292	1	1	2	1	1	1	False
8475	1	1	3	2	2	3	False
16442	7	11	37	9	13	22	False
51448	2	2	5	4	4	49	False
25736	1	1	1	1	1	1	False
26573	1	1	5	1	1	1	False
47683	1	1	1	1	1	1	False
6968	1	1	3	3	3	9	False
7818	11	15	58	14	28	92	False
35760	4	4	15	4	4	17	False
39783	1	1	1	1	1	2	False
3918	3	3	11	8	8	23	False
47278	3	3	4	5	5	10	False
2025	3	4	7	2	2	169	True
22916	9	11	27	9	14	26	False
52327	1	1	4	1	1	1	False
13359	2	2	4	2	2	3	False
14329	1	1	4	1	1	1	False
51423	13	18	52	15	23	57	False
23638	5	8	10	9	12	31	False
17471	3	3	5	3	4	16	False
29715	3	3	161	1	1	1	False
23691	3	3	7	2	2	4	False
9941	4	5	18	5	6	15	False
35358	1	1	6	1	1	1	False
20433	9	12	41	10	13	115	False
18352	1	1	4	1	1	2	False
12992	5	5	30	11	14	22	False
39760	4	4	8	6	6	28	False
26003	7	9	14	5	6	18	False
1186	2	4	11	1	1	9	False
37822	4	4	8	4	4	6	False
17055	2	2	3	7	7	16	False
28859	3	4	10	2	3	3	False
39778	1	1	4	1	1	182	False
50913	5	5	14	10	14	77	False
17152	1	1	1	1	1	4	False
40266	2	2	2	1	1	1	False
14939	1	1	1	1	1	1	False
3771	1	1	4	1	1	1	False
27875	1	1	1	1	1	24	False
50086	5	7	12	7	8	27	False
10934	1	1	1	1	1	1	False
6482	2	2	5	2	2	2	False
2788	4	4	7	3	3	3	False
7535	12	15	31	13	18	41	True
2337	6	6	8	13	19	48	False
21262	11	14	32	13	19	42	True
13422	1	1	1	1	1	1	False
50554	1	1	3	1	1	5	False
31465	4	4	11	7	8	26	False
44075	6	6	13	8	11	11	False
18743	1	1	1	1	1	1	False
49499	3	3	3	5	5	31	False
27496	8	10	14	14	23	45	True
22371	5	5	9	5	5	7	False
1841	14	19	119	20	40	102	False
33781	2	2	4	5	5	5	False
25944	1	1	2	1	1	1	False
30853	2	2	6	1	1	1	False
19474	1	1	2	1	1	1	False
15543	1	1	4	1	1	7	False
31784	3	3	8	3	4	25	False
46085	1	2	3	4	4	12	False
34820	2	2	2	1	1	93	False
43000	4	5	33	4	4	14	True
10193	1	1	2	1	1	1	False
39995	6	7	10	2	2	5	False
19077	1	1	4	1	1	1	False
24212	2	2	2	6	6	14	False
24544	1	1	2	1	1	1	False
3400	1	1	1	1	1	1	False
29384	1	1	1	2	2	7	False
17384	1	1	1	1	1	1	False
9939	1	1	1	1	2	2	False
27709	4	4	6	8	9	23	False
51280	4	4	9	4	5	13	False
25303	3	3	7	1	1	2	False
30542	9	11	21	8	10	13	False
393	12	17	35	14	22	63	False
40490	3	3	4	1	1	2	False
40448	4	4	12	11	16	76	False
25291	3	3	14	7	10	13	False
22777	5	5	9	5	6	11	False
24513	2	2	2	1	1	1	False
49909	1	1	1	1	1	2	False
25329	1	1	1	1	1	5	False
33624	10	12	47	16	20	39	False
13026	2	2	7	2	2	8	False
33380	4	4	12	8	10	52	False
17736	3	3	122	1	1	1	False
45432	3	3	5	1	2	28	False
19020	2	2	2	2	3	4	False
14281	1	1	1	1	2	4	False
15732	1	1	1	1	1	1	False
24875	2	2	2	2	2	10	False
31158	6	6	10	4	4	53	False
1995	4	4	17	6	7	33	False
12852	1	1	1	1	1	1	False
4883	3	4	4	6	7	22	False
45633	6	6	7	10	12	212	False
34613	5	6	9	11	14	43	False
41047	4	5	9	3	3	4	False
42268	3	3	4	1	1	1	False
34963	2	2	4	2	2	6	False
12156	2	2	2	1	1	1	False
7147	6	6	32	3	3	12	False
35727	7	8	13	6	7	13	False
18762	6	9	29	15	18	39	False
